,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,280,272,-101.88924978356994,695399.7360774464,673375.1925063663,0
1,1,1,CSS,254,244,-104.7582719016206,693219.1873371366,712921.9548206644,0
2,2,1,CSS,260,256,-102.52332705866252,671399.2778171863,685583.3505255674,0
3,3,1,CSS,264,256,-95.25748287325035,690635.4173415436,697293.7454633603,0
4,4,1,CSS,273,271,-105.8515790233362,715162.9299184361,681256.5779290122,0
5,5,1,CSS,244,240,-102.43439072965651,687615.2036016062,671273.3289508716,0
6,6,1,CSS,263,256,-82.29870140561819,688409.3460791025,690899.792371172,0
7,7,1,CSS,285,283,-110.32761467847669,647662.4872568423,672027.1898701419,0
8,8,1,CSS,276,271,-110.545205005588,659108.744332875,654311.3681283848,0
9,9,1,CSS,248,243,-110.64406733855498,692972.3924009486,642645.2446167064,0
10,10,1,CSS,268,263,-110.2620672465486,714320.8085992954,726747.3287898295,0
11,11,1,CSS,260,251,-90.46753263769696,687300.4446126893,685328.5346043714,0
12,12,1,CSS,250,243,-111.19932595430797,720731.9361504753,728381.8763652894,0
13,13,1,CSS,252,246,-109.93672487845164,728008.1770811895,708888.1679991523,0
14,14,1,CSS,270,264,-108.15808011564073,685517.9782197335,654399.070897843,0
15,15,1,CSS,238,235,-107.71094427038705,717423.3709356337,671111.0908483006,0
16,16,1,CSS,276,273,-111.63034318857947,739005.8059146458,706757.4827711821,0
17,17,1,CSS,250,244,-102.93913305363192,699259.0692070033,672793.0190049529,0
18,18,1,CSS,264,258,-102.5161939184999,675938.6805228147,701941.4902335665,0
19,19,1,CSS,236,230,-103.02895566420639,675060.1073699171,702639.4343749743,0
20,20,1,CSS,228,221,-100.52865844640702,703669.1569329348,692713.7833391111,0
21,21,1,CSS,238,231,-108.72162387064321,726807.5699570882,685611.7886566765,0
22,22,1,CSS,253,245,-104.55027609906067,685749.4244655675,712374.7201869136,0
23,23,1,CSS,249,241,-108.26515158453886,671021.880184645,719969.2537806558,0
24,24,1,CSS,263,256,-109.73580962568148,684385.0656661206,731355.5174775356,0
25,25,1,CSS,244,240,-107.62999080255105,661038.6391712857,706554.8859788078,0
26,26,1,CSS,251,244,-104.07451997757153,674165.1593832606,673530.292910245,0
27,27,1,CSS,264,256,-94.2086474626475,683277.7185194856,692927.5609454492,0
28,28,1,CSS,259,244,-100.20840232305468,675760.2607552317,692965.3434610149,0
29,29,1,CSS,225,218,-99.31014185548376,677373.6637297231,693522.0979648891,0
30,30,1,CSS,255,250,-108.13291163479256,655508.7701415606,680220.8668485839,0
31,31,1,CSS,278,274,-110.49382578553153,661255.6772274412,652911.6786170338,0
32,32,1,CSS,277,272,-99.197942301996,689956.835591658,701955.88490722,0
33,33,1,CSS,258,247,-85.21523754846572,687319.048581575,688023.2590443967,0
34,34,1,CSS,258,250,-103.21360115045363,671416.1535545903,697994.1479438563,0
35,35,1,CSS,254,248,-108.53065519933563,666683.5295605063,660503.9798407005,0
36,36,1,CSS,241,240,-109.02139603365156,694379.6181110867,650820.5456573499,0
37,37,1,CSS,258,253,-109.51702579998158,730052.0098980919,682685.2884007916,0
38,38,1,CSS,229,221,-105.01679185163536,671134.3103776543,705782.3946184396,0
39,39,1,CSS,269,261,-109.0749802651101,709891.0820623939,722776.7196199982,0
40,40,1,CSS,234,229,-111.2883748640814,684024.6793903041,739635.5161533854,0
41,41,1,CSS,226,222,-111.23391630272306,665356.3515194021,733468.8402500293,0
42,42,1,CSS,225,216,-94.57853295974758,688847.8437104299,682055.0645789234,0
43,43,1,CSS,275,267,-108.1288221359958,655370.94845586,680812.5490891533,0
44,44,1,CSS,257,246,-93.95588808656179,682642.8860732296,690572.8864899853,0
45,45,1,CSS,269,262,-109.35033216428172,718199.1128077118,717770.70853117,0
46,46,1,CSS,269,263,-109.37357111252734,683991.3609426266,649256.0785121467,0
47,47,1,CSS,251,244,-105.36990898994362,664960.9592732458,681977.760507667,0
48,48,1,CSS,225,220,-104.86331161132742,687624.7149726074,713451.8782570603,0
49,49,1,CSS,237,234,-109.86157573873015,668979.5232872831,727088.4825285575,0
50,50,2,CSS,47,46,-87.24515047690569,691455.5630204454,686986.7624775167,0
51,51,2,CSS,61,61,-111.58748637872256,740409.6920374801,700924.9549202818,0
52,52,2,CSS,70,69,-101.56596427139644,700044.4760538854,676804.5842904744,0
53,53,2,CSS,78,78,-93.61152523459033,683357.0522314651,686781.8852692735,0
54,54,2,CSS,58,58,-110.23282842019117,675026.7406323812,731767.5349011058,0
55,55,2,CSS,66,65,-104.90140479104335,711955.3498024687,698244.2793511546,0
56,56,2,CSS,59,59,-92.53130749083056,683585.5375372553,689227.5475203167,0
57,57,2,CSS,62,61,-102.83517168734693,708314.6788081084,692050.4101200469,0
58,58,2,CSS,68,68,-109.2790959626421,656667.1117215145,712525.9005982096,0
59,59,2,CSS,62,62,-105.31379825259631,676248.6399686136,711123.3606372145,0
60,60,2,CSS,52,52,-92.80902156279505,683665.5861565686,687621.2877927532,0
61,61,2,CSS,56,56,-110.16176081724994,733700.5522314952,692045.5887370609,0
62,62,2,CSS,66,66,-107.05546343125914,669595.7565071022,713287.5872337307,0
