,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,36,2,-109.63588722348581,722963.512347586,714275.4349351786,0
1,1,1,CSS,38,4,-90.31911620421616,693359.7020899936,687215.750014585,0
2,2,1,CSS,33,4,-96.43719079839508,684908.6948571805,697362.599346033,0
3,3,1,CSS,39,6,-96.7864729239514,691687.2483001502,698647.3523700215,0
4,4,1,CSS,35,5,-106.9835685550789,676538.7872048301,717361.5833852696,0
5,5,1,CSS,39,1,-91.5590591060147,694154.2166889514,691569.22536502,0
6,6,1,CSS,40,3,-85.7848150963085,691666.6452661912,690859.2117744429,0
7,7,1,CSS,40,3,-88.08597017344533,686109.8987367154,690554.8034934207,0
8,8,1,CSS,41,7,-103.77661956579186,669365.9865129904,696531.5000840555,0
9,9,1,CSS,41,6,-94.91356663653806,696746.9395431548,687180.3380369648,0
10,10,2,CSS,64,6,-84.78046001979122,687713.8812773515,687731.2628843087,0
