,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,141,49,-112.73728759274715,722247.0922484674,639573.7321491542,0
1,1,1,CSS,121,66,-109.84461238118053,668166.2328998758,652282.353318023,0
2,2,1,CSS,129,77,-114.71308375793123,704309.5235258838,762841.1639315942,0
3,3,1,CSS,135,79,-109.12365390159364,673428.2864848456,653431.3902579774,0
4,4,1,CSS,135,73,-115.1543453809152,735947.4434785463,753040.3998859659,0
5,5,1,CSS,129,78,-112.72951546220676,697444.9433839612,630325.8987437466,0
6,6,1,CSS,118,78,-116.78473712359781,772987.3334159378,734804.0784158421,0
7,7,1,CSS,158,92,-111.80570110262747,741423.4822858706,676411.3004131538,0
8,8,1,CSS,142,75,-111.82960238387201,699104.7819510684,636532.0506514953,0
9,9,1,CSS,127,68,-110.2947770189856,683402.6437919037,644760.9208752372,0
10,10,1,CSS,121,75,-113.87505806465094,757436.6046468045,690549.0485668054,0
11,11,1,CSS,110,40,-85.27100389379746,690409.7102128591,691731.7990928836,0
12,12,1,CSS,122,50,-108.15598738348828,655431.5576520306,680148.6868797141,0
13,13,1,CSS,105,61,-110.7524652950027,646981.8261810725,710743.5933228242,0
14,14,1,CSS,124,74,-112.81925662820461,721525.2962728733,638435.5023288355,0
15,15,1,CSS,130,52,-100.19111392652995,682266.0252096908,677281.0838754788,0
16,16,1,CSS,132,64,-85.21048866317835,691680.2707523936,690481.3310543927,0
17,17,1,CSS,121,73,-117.86298049822824,774086.6378667429,755929.507773277,0
18,18,1,CSS,123,56,-107.33690216122625,711583.9701376868,712552.9393113244,0
19,19,1,CSS,126,73,-109.4972603820764,678478.845847431,729030.559018956,0
20,20,1,CSS,128,75,-112.75886258732655,744057.7936775177,713771.4063357207,0
21,21,1,CSS,130,81,-112.58803659626238,637804.9843845367,661510.2940154497,0
22,22,1,CSS,124,81,-115.80341179424988,692008.9191108355,604503.1835601951,0
23,23,1,CSS,113,56,-105.17754929766603,670282.5900684501,673321.64981971,0
24,24,1,CSS,115,70,-113.33568009727009,709212.7195423504,750206.2157233376,0
25,25,1,CSS,136,69,-114.89726116254388,765909.9403498274,691661.8743296248,0
26,26,1,CSS,108,69,-117.94646623975922,782148.1459829625,746152.002354569,0
27,27,1,CSS,146,95,-117.13557865385755,700430.8852959212,787824.2160009127,0
28,28,1,CSS,116,77,-116.88389737156155,769560.6511346711,742613.2223632775,0
29,29,1,CSS,156,57,-99.84280296691207,682973.5403060596,701305.1390283182,0
30,30,1,CSS,126,71,-115.85765563121552,614418.5027917952,730434.2462408269,0
31,31,1,CSS,137,57,-84.29074006582402,691656.5950258521,689185.1306255673,0
32,32,1,CSS,121,81,-116.69517580181179,595300.2569255573,687392.5732767227,0
33,33,1,CSS,131,80,-112.75338078337845,629883.7796895964,695040.9142877647,0
34,34,1,CSS,140,62,-103.61149810992991,709907.5342829226,693349.862797104,0
35,35,1,CSS,118,71,-112.70424799640485,748861.8811955503,688662.9316223179,0
36,36,1,CSS,124,76,-117.82561720468641,674116.7004143385,583291.0853395696,0
37,37,1,CSS,136,77,-111.19306279913525,644038.2655550101,668495.865759626,0
38,38,1,CSS,111,63,-112.97898087280996,664186.2458098631,745353.1468364132,0
39,39,1,CSS,109,66,-112.08429788746324,635028.6658287628,699768.5313155883,0
40,40,1,CSS,124,48,-98.29944644158607,678140.4286282491,690496.9507743936,0
41,41,1,CSS,130,67,-106.18296501791228,663456.1002377591,678740.7167428035,0
42,42,1,CSS,131,48,-83.53674127546017,691456.3312178674,689724.8503387982,0
43,43,1,CSS,123,65,-105.16155967421977,706256.7679744017,707814.4607113415,0
44,44,1,CSS,132,71,-114.06065106036695,627621.8408704007,657583.7599853844,0
45,45,1,CSS,132,74,-114.79138557528361,735690.6434376423,749196.32636461,0
46,46,1,CSS,121,51,-92.88866578731242,689164.5327417409,695479.1405271558,0
47,47,1,CSS,134,83,-112.7606828920948,631622.382238659,704956.9906802588,0
48,48,1,CSS,115,57,-103.85316963176267,702682.9680862081,672546.6697967435,0
49,49,1,CSS,118,64,-109.90829975210691,708266.1388594696,650663.1958445751,0
50,50,2,CSS,115,62,-111.57449698893689,638028.2829195794,680186.5292875747,0
