,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,523,245,-82.18891199350254,690749.6988613051,690571.7420858232,0
1,1,1,CSS,517,261,-86.18120291124383,686767.4309434853,688471.0714359767,0
2,2,1,CSS,483,304,-109.57679005803219,720014.8534128075,717408.2186476584,0
3,3,1,CSS,501,249,-82.27547657229424,688701.6961053868,687767.9757763369,0
4,4,1,CSS,494,299,-102.11495912304844,683297.6863628041,672940.7110556904,0
5,5,1,CSS,494,307,-111.02538772622205,662379.1218562698,730287.277767691,0
6,6,1,CSS,469,293,-108.85079358150918,714239.6406442838,660443.2345663164,0
7,7,1,CSS,518,320,-110.90575023829086,716880.7033977745,649639.7432779075,0
8,8,1,CSS,500,280,-100.38125937378811,703785.7562803982,690060.4200734072,0
9,9,1,CSS,510,272,-87.2426039516148,690199.6034055534,686340.2712922465,0
10,10,1,CSS,523,252,-94.59077612620305,683680.5532418574,684748.1079845021,0
11,11,1,CSS,480,231,-84.83401093622938,689910.0935334935,687060.8138166522,0
12,12,1,CSS,516,332,-105.52768645120175,712418.0206289808,701572.2538958972,0
13,13,1,CSS,541,367,-108.05831334645572,713958.0527608363,714114.2331806122,0
14,14,1,CSS,489,336,-110.9144353477262,646267.379118813,667510.2608928146,0
15,15,1,CSS,521,342,-108.11390341495468,661304.6975141566,668471.3937419805,0
16,16,1,CSS,542,301,-91.1499420490104,686408.2251364294,693373.0713804315,0
17,17,1,CSS,479,237,-87.51190321961785,692172.1224901001,687658.7255145882,0
18,18,1,CSS,527,324,-105.43285040888628,705456.754167245,709538.7137717236,0
19,19,1,CSS,505,296,-98.76640798991308,679461.2419569562,682795.8198330293,0
20,20,1,CSS,480,265,-91.62842270688068,687333.2654442671,694235.5483587332,0
21,21,1,CSS,541,377,-111.14295881036665,721660.181101966,651628.912088813,0
22,22,1,CSS,477,274,-101.33329504758056,684783.2103611237,704785.9082035264,0
23,23,1,CSS,518,308,-105.1015191338993,665127.9633200632,694335.9459411796,0
24,24,1,CSS,489,224,-82.07397521622117,688327.1340985254,688038.8937322322,0
25,25,1,CSS,502,297,-105.60975143001974,667375.7191865946,703714.2865069788,0
26,26,1,CSS,504,242,-84.88218154780016,688589.8911671573,687138.8572681656,0
27,27,1,CSS,493,259,-91.143041570899,685048.274922823,691786.3017926229,0
28,28,1,CSS,536,344,-107.79477225816765,658959.8889234774,704044.1674781878,0
29,29,1,CSS,508,299,-107.26108296185478,672580.5927186258,716358.1757274853,0
30,30,1,CSS,528,266,-84.94243188827825,687003.8290712181,689763.0231199589,0
31,31,1,CSS,484,258,-96.83384504558325,697972.9283611152,685147.5080548192,0
32,32,1,CSS,481,248,-93.84379242231994,695972.0805354256,687705.7243069367,0
33,33,1,CSS,493,242,-82.27226239748697,688824.6328017887,687720.8980047384,0
34,34,1,CSS,496,242,-84.98305945572632,687773.559169491,691225.6087985839,0
35,35,1,CSS,488,252,-96.96573130875205,685184.7821970162,680667.7822002809,0
36,36,1,CSS,501,286,-104.78127172454401,666314.9303436186,695481.5038056883,0
37,37,1,CSS,491,293,-106.64197925203996,694145.2258503777,718615.2843135396,0
38,38,1,CSS,525,304,-106.07798741753324,712518.1357821604,674088.9719933752,0
39,39,1,CSS,525,342,-106.52208545333558,660394.9097016712,686322.9582465334,0
40,40,1,CSS,460,279,-107.88541579542611,708730.5841160282,717557.5172676948,0
41,41,1,CSS,492,345,-106.56785803819398,679522.6065280037,661793.7822472111,0
42,42,1,CSS,545,255,-83.49304887906972,690651.414528811,691054.286804825,0
43,43,1,CSS,507,293,-100.87283397974116,674653.8101744247,693165.3335527973,0
44,44,1,CSS,513,338,-111.76229773504843,666721.1667114528,737690.1817359872,0
45,45,1,CSS,514,267,-89.63070234444643,690216.560788779,685315.8351390868,0
46,46,1,CSS,509,323,-110.55908174813358,729138.1084809066,665351.7163163235,0
47,47,1,CSS,540,269,-84.61389111139535,688852.5781869487,687136.0602616129,0
48,48,1,CSS,502,228,-85.33485859560436,686902.4648557495,688980.4968580056,0
49,49,1,CSS,505,328,-108.41257114362465,659031.3200536374,709234.1990649764,0
50,50,2,CSS,895,465,-106.45620137386842,660940.216545599,694708.5810860175,0
51,51,2,CSS,907,410,-91.1853595864038,693416.360022166,692389.9485514861,0
52,52,2,CSS,892,437,-102.7327439581896,696708.9999551397,672016.6630655497,0
53,53,2,CSS,911,463,-105.69533997986682,715772.6190551694,692400.7210348663,0
54,54,2,CSS,848,387,-90.73544012698932,689125.7710185971,684679.8745329548,0
55,55,2,CSS,896,409,-87.9636601612014,686034.0201117956,688730.8426624459,0
56,56,2,CSS,858,394,-91.46844133522279,685323.7342733986,686266.2351449868,0
57,57,2,CSS,972,445,-96.2289310069535,698229.7676597505,688062.5018186785,0
58,58,2,CSS,860,386,-89.47067306766496,685318.2776717696,689214.1727299097,0
59,59,2,CSS,911,426,-96.77093332824475,691221.2644863696,698732.5472237533,0
