,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,0,1,CSS,65,36,-108.69059688252185,716929.6458650926,664002.2769657169,0
1,1,1,1,CSS,60,30,-102.708928850467,700249.300333916,704786.6021154113,0
2,2,2,1,CSS,55,31,-103.611722304437,697433.0060393154,708679.950813177,0
3,3,3,1,CSS,67,51,-110.34126007735097,647709.6787292167,671731.3271458606,0
4,4,4,1,CSS,60,44,-108.0278049216877,723708.0870245965,684116.9046594693,0
5,5,5,1,CSS,66,53,-111.65090528898348,728812.3533107019,724356.3810792879,0
6,6,6,1,CSS,57,41,-107.23884069157111,665311.882245003,668832.1528956523,0
7,7,7,1,CSS,54,36,-110.42677219628106,733891.2763050738,678739.9375579848,0
8,8,8,1,CSS,57,30,-99.73241270006773,699486.7457453788,698174.5650304874,0
9,9,9,1,CSS,64,48,-109.54043335518166,729874.2042430972,697707.1891212298,0
10,10,10,1,CSS,61,48,-110.85025734261788,653822.2233516438,657160.2121991314,0
11,11,11,1,CSS,48,30,-111.69372524275596,680817.54175117,637187.6216718298,0
12,12,12,1,CSS,61,37,-104.34941977754548,667926.0682251316,696806.822128624,0
13,13,13,1,CSS,58,33,-96.0048994007076,683356.9401590707,683171.1323831143,0
14,14,14,1,CSS,70,32,-91.83404371397565,693820.9165126043,692490.5672846405,0
15,15,15,1,CSS,67,27,-90.00719243781302,692993.312740704,686928.2985100604,0
16,16,16,1,CSS,70,47,-109.33033929521952,716429.3897721459,719336.485889599,0
17,17,17,1,CSS,53,41,-107.445414781502,688435.2332346333,656972.9593098824,0
18,18,18,1,CSS,65,44,-110.5076256799688,703676.8150282889,733321.9548475178,0
19,19,19,1,CSS,65,45,-110.87023793369922,692130.227744316,641349.4050793902,0
20,20,20,1,CSS,58,36,-94.63332357437416,687243.8887933013,682310.1859582957,0
21,21,21,1,CSS,60,42,-108.77019838758196,659073.6024150037,666861.6819914515,0
22,22,22,1,CSS,68,49,-108.77102122436791,727196.9588673045,690560.5592287541,0
23,23,23,1,CSS,58,33,-103.7483629885426,693800.6911652657,668667.3233630038,0
24,24,24,1,CSS,71,41,-110.07108180563752,663441.381068867,724814.5150022972,0
25,25,25,1,CSS,55,36,-103.84978453218196,680979.8859356886,709136.8269843471,0
26,26,26,1,CSS,57,37,-105.07999312681996,669846.9118541745,674306.9601752058,0
27,27,27,1,CSS,66,33,-103.59762084602818,710233.2955257539,688595.6361118517,0
28,28,28,1,CSS,56,26,-98.26543578116484,681315.1663407792,697263.5448988349,0
29,29,29,1,CSS,64,46,-108.20068497585108,723679.3963196848,698293.6801231097,0
30,30,30,1,CSS,66,43,-107.76713711912149,656167.4730302265,694798.7402873457,0
31,31,31,1,CSS,59,36,-107.51109609948772,717284.305667721,706507.9713246122,0
32,32,32,1,CSS,56,30,-84.80568916170543,687368.2836892392,690660.903127518,0
33,33,33,1,CSS,51,28,-103.53236794876848,671094.1164962085,679806.3659789514,0
34,34,34,1,CSS,59,40,-111.79015976736495,728504.4072911066,725958.6219697576,0
35,35,35,1,CSS,84,61,-106.25914848852068,663755.7414471242,701379.9514608434,0
36,36,36,1,CSS,62,40,-103.97480549200974,711169.9168984918,688984.8510656545,0
37,37,37,1,CSS,63,41,-105.11261978383594,695841.0109063869,713372.3673134893,0
38,38,38,1,CSS,73,55,-111.52960999535604,726002.0440391252,726266.7682566612,0
39,39,39,1,CSS,63,48,-108.36829238392856,690534.6772021828,725484.1688046337,0
40,40,40,1,CSS,64,44,-105.38082886703518,685204.5983213779,714650.0141701569,0
41,41,41,1,CSS,69,50,-110.8252645807258,686926.3757049488,641585.6441578408,0
42,42,42,1,CSS,57,38,-109.0476060361964,715825.6165484014,718139.7757217227,0
43,43,43,1,CSS,80,46,-102.85409792860123,685077.1358423324,708042.2722383563,0
44,44,44,1,CSS,58,45,-110.01776461226294,645772.7243776423,689501.0388667111,0
45,45,45,1,CSS,69,47,-110.63448357343532,726697.8096203392,717775.8436696358,0
46,46,46,1,CSS,72,57,-109.04602400095432,686731.7582044842,728338.387083867,0
47,47,47,1,CSS,70,50,-108.91337018658652,714694.1843172323,660471.7776583096,0
48,48,48,1,CSS,64,42,-107.71164871957708,713509.4454647646,712627.936559044,0
49,49,49,1,CSS,55,36,-105.11510951142748,676355.023346113,710515.184146814,0
50,50,50,2,FHSS,20,4,-109.90229397341142,647410.8207269508,679906.9261777246,0
51,51,51,2,FHSS,15,3,-101.40925687940036,682688.4160313949,704147.3491863325,0
52,52,52,2,FHSS,11,1,-95.52062953525984,683917.2834830211,683292.9091786003,0
53,53,53,2,FHSS,20,2,-103.233756403739,676708.2649020811,673984.580110597,0
54,54,54,2,FHSS,18,1,-110.40980469161046,681110.5426000445,734303.2066310429,0
55,55,55,2,FHSS,16,2,-93.91336311107172,694655.2583943913,685029.7215110648,0
56,56,56,2,FHSS,13,0,-102.80333974906092,689390.5762128944,670393.7808241185,0
57,57,57,2,FHSS,12,3,-103.06153674285852,701877.1247441787,674297.9621983283,0
58,58,58,2,FHSS,10,2,-109.76102019447023,653071.8393934353,667628.9518792722,0
59,59,59,2,FHSS,15,0,-106.2736986606693,680342.9338923647,716279.3431348791,0
60,60,60,2,FHSS,22,6,-102.0008236033959,699061.297441291,675005.8241166702,0
61,61,61,2,FHSS,12,1,-108.00510181660052,711695.8488134326,662926.5914990496,0
62,62,62,2,FHSS,11,0,-85.39265158573464,687072.335780456,688364.3322944987,0
63,63,63,2,FHSS,14,3,-94.45667008274036,695328.0228459866,685179.0050041138,0
64,64,64,2,FHSS,15,3,-104.8367928475634,666981.4507728197,698044.200198097,0
65,65,65,2,FHSS,12,1,-110.58909490196956,734106.7364489416,676207.1274264702,0
66,66,66,2,FHSS,15,0,-110.34406461613794,727037.5055992955,664169.3207172138,0
67,67,67,2,FHSS,9,4,-87.29172300904904,691257.1900176696,692010.4573519478,0
68,68,68,2,FHSS,12,1,-103.34466581995792,691801.1737856468,709509.5182963817,0
69,69,69,2,FHSS,13,2,-110.40097683140682,705811.2228114263,646855.057340493,0
70,70,70,2,FHSS,20,3,-110.54136986637808,707346.4450076952,732150.1239084682,0
71,71,71,2,FHSS,11,1,-107.28205920113508,675412.4916582878,660804.3247717944,0
72,72,72,2,FHSS,11,1,-95.8733374640826,681631.3806024714,692990.0573367634,0
73,73,73,2,FHSS,19,3,-96.15377820316029,695372.132060606,695944.6519168562,0
74,74,74,2,FHSS,9,1,-102.65494900136028,707487.8326767175,694179.0997800315,0
75,75,75,2,FHSS,11,0,-83.07613786241306,691308.5488298467,688910.6844143374,0
76,76,76,2,FHSS,11,1,-103.5374747945818,709683.2056082814,685251.8908355,0
77,77,77,2,FHSS,12,1,-90.33667780822783,687222.0548468088,685448.3500592347,0
78,78,78,2,FHSS,14,2,-102.01781208873204,693444.7083369396,672512.9276483484,0
79,79,79,2,FHSS,16,2,-102.23771589340711,692158.1952511552,671805.7608710693,0
80,80,80,2,FHSS,13,3,-102.97392996655417,693947.6674966494,670554.6447051391,0
81,81,81,2,FHSS,17,1,-106.82270234451632,692163.1888432065,659329.0940214446,0
82,82,82,2,FHSS,14,3,-110.48071626296442,733698.0017334578,676873.8726041211,0
83,83,83,2,FHSS,19,2,-88.03543229135377,692151.72282168,691544.725443379,0
84,84,84,2,FHSS,11,2,-107.53395997137387,665439.4423255547,711776.9544872722,0
85,85,85,2,FHSS,14,2,-111.851268386153,683839.3511356537,635805.3679594685,0
86,86,86,2,FHSS,19,1,-85.20470282619057,688817.6855732409,691847.1435066639,0
87,87,87,2,FHSS,21,2,-82.0018989170988,687689.8458210124,689199.4672789053,0
88,88,88,2,FHSS,9,2,-106.48120998408578,718414.3356081191,687894.5401982431,0
89,89,89,2,FHSS,16,0,-107.029207385416,719686.8707823835,695759.5519701634,0
90,90,90,2,FHSS,14,1,-105.30060705938943,707538.89904911,671688.1771693815,0
91,91,91,2,FHSS,14,2,-100.73544163667346,691539.2674916337,704247.4279105044,0
92,92,92,2,FHSS,17,4,-88.42078604935693,692476.1094008054,687464.5005014696,0
93,93,93,2,FHSS,14,3,-99.87733730889812,694407.2425033229,676785.2616248941,0
94,94,94,2,FHSS,20,3,-111.359440171578,689071.5523807963,740337.3600424042,0
95,95,95,2,FHSS,16,4,-102.4342382163148,697391.915687964,705796.7656136578,0
96,96,96,2,FHSS,11,3,-97.15641698929406,692062.1961502366,698977.02424417,0
97,97,97,2,FHSS,6,3,-111.222435549682,701600.2054719756,640784.9731648602,0
98,98,98,2,FHSS,11,0,-111.26246495079192,670070.2021014657,735911.2263186935,0
99,99,99,2,FHSS,15,3,-111.75340536431077,690037.9371880381,636124.0961454363,0
