,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,506,210,-114.45287270354873,746015.0238203455,735055.860773198,0
1,1,1,CSS,503,333,-117.16105374537352,668370.9541403942,592346.0291123678,0
2,2,1,CSS,500,301,-114.69264744379481,757125.7788350143,721070.2567634181,0
3,3,1,CSS,524,340,-113.41413263514559,672913.0383280374,627037.0887739939,0
4,4,1,CSS,536,326,-112.09351686080065,646772.0960472592,654011.0971362189,0
5,5,1,CSS,526,316,-112.94044078546133,748796.1890956258,703761.6331149767,0
6,6,1,CSS,514,330,-116.04511098789786,743122.0719327118,620532.9076406894,0
7,7,1,CSS,540,351,-116.95437847879424,770871.0905032436,742042.846000094,0
8,8,1,CSS,489,319,-115.83134573575927,604239.0755937176,692308.1410685492,0
9,9,1,CSS,506,234,-91.90473373133332,684060.4694428913,688529.1353284153,0
10,10,1,CSS,520,297,-113.86747385649676,714729.4444705222,752495.6898926301,0
11,11,1,CSS,509,332,-117.07145377063799,752079.7221010353,613677.9385508908,0
12,12,1,CSS,488,262,-108.93045245018548,713592.228028914,719374.4123073671,0
13,13,1,CSS,551,283,-103.67250228623432,682117.0338019527,709123.5053207313,0
14,14,1,CSS,482,296,-116.86883288028744,684193.2938798747,593519.5350215466,0
15,15,1,CSS,479,311,-116.88308850509446,765392.0915335179,748399.0776614144,0
16,16,1,CSS,496,233,-99.93686250454013,680564.777539626,678986.965916611,0
17,17,1,CSS,495,322,-114.94510409216545,758298.4720838803,723711.8897959128,0
18,18,1,CSS,493,314,-117.92831380991001,712736.2787375224,795365.4740847724,0
19,19,1,CSS,509,313,-117.53925613860804,586057.00660758,680478.8700997493,0
20,20,1,CSS,489,325,-115.68098915988006,758149.3745771641,737270.6842436714,0
21,21,1,CSS,535,315,-112.3374203182357,685025.7786145299,632583.0379630211,0
22,22,1,CSS,512,312,-115.47896637841782,626579.1166571958,741839.9810794548,0
23,23,1,CSS,511,312,-112.61715901826055,678668.8401781654,631537.0655715502,0
24,24,1,CSS,520,265,-105.82278932628417,663853.8988474165,680945.1789875292,0
25,25,1,CSS,525,350,-116.86974529171846,783713.3144764975,707615.6350926536,0
26,26,1,CSS,485,310,-116.29255581827385,744546.2872891439,618442.9177894449,0
27,27,1,CSS,487,237,-95.8214585701719,686129.2612290885,681556.6038898004,0
28,28,1,CSS,496,228,-98.05340127399181,678475.1896649399,688165.324049194,0
29,29,1,CSS,516,271,-109.46690999356743,680488.8883238767,729384.1599101665,0
30,30,1,CSS,546,336,-117.3383276387049,588529.3547468546,699318.8418887879,0
31,31,1,CSS,546,242,-88.40335613270537,693029.7284138894,689221.9097339434,0
32,32,1,CSS,505,315,-115.97929274737976,683917.1541347395,775921.9244955243,0
33,33,1,CSS,552,302,-108.14847762529338,719941.8414536171,671914.7818274173,0
34,34,1,CSS,507,279,-107.31330320774555,657450.2586884447,689777.7502606962,0
35,35,1,CSS,502,255,-101.97401156205251,686969.3524447924,672298.8591985763,0
36,36,1,CSS,510,260,-106.95089410659541,711593.994725166,710571.013363939,0
37,37,1,CSS,503,324,-117.03423265927347,658175.1772090483,596649.3311826696,0
38,38,1,CSS,477,245,-98.33185455668456,699566.4200032784,694513.2336945031,0
39,39,1,CSS,498,323,-116.12069469348944,776728.2116740136,677633.382144626,0
40,40,1,CSS,500,317,-117.34661365639812,675423.3888266593,588916.0171092838,0
41,41,1,CSS,511,333,-115.31502247821251,613030.3647704895,664620.6926123124,0
42,42,1,CSS,485,300,-113.42084978199406,629541.0971660512,713592.1001340774,0
43,43,1,CSS,498,263,-111.11655253511768,643013.3571867906,706725.6489736249,0
44,44,1,CSS,518,302,-112.41513599657418,743118.9086139359,709972.2452193393,0
45,45,1,CSS,529,322,-113.65942242875941,755745.9184060819,691470.4315198839,0
46,46,1,CSS,535,260,-105.92006805739463,664483.6689855334,678461.9046116559,0
47,47,1,CSS,509,283,-113.24830174017367,642987.3499539988,732440.9973882061,0
48,48,1,CSS,498,324,-117.63651765337053,690578.4031498884,584510.0874361184,0
49,49,1,CSS,513,313,-115.79662224930797,770960.6592623161,665863.8750842094,0
50,50,2,CSS,260,111,-107.85126496238216,709776.0127175974,716643.5217827723,0
51,51,2,CSS,266,137,-106.4496898676386,717988.5123160149,693962.8342658548,0
52,52,2,CSS,283,142,-110.55361144997696,656470.1906194995,656711.1524267314,0
53,53,2,CSS,260,129,-109.65406467200744,663669.3464207308,656415.646414153,0
54,54,2,CSS,233,109,-117.40149399111687,589540.8918219676,668156.0025235106,0
55,55,2,CSS,237,104,-109.8783800728082,724458.6413671207,714226.774431091,0
56,56,2,CSS,264,128,-109.52413864516548,706128.5270950727,651725.0256567711,0
57,57,2,CSS,221,102,-111.22880772782119,738670.8055323566,698909.8828070874,0
58,58,2,CSS,238,111,-104.346237732499,678190.1544354993,709159.7962159187,0
59,59,2,CSS,240,101,-110.46307072303532,645662.5095137889,675411.0887765053,0
