,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,116,90,-109.9653079637341,723749.9816973238,715911.5386962547,0
1,1,1,CSS,134,115,-109.65063081000966,653015.5795199731,710034.1731607011,0
2,2,1,CSS,133,116,-104.96864200254119,712936.4041069688,695889.9804068407,0
3,3,1,CSS,109,90,-111.51001139589415,637679.1138171856,692397.5571575742,0
4,4,1,CSS,114,93,-109.6999402471088,728076.6224584433,705990.9113648168,0
5,5,1,CSS,115,99,-98.45000839048689,690348.080497297,677928.4251524011,0
6,6,1,CSS,137,112,-97.22450120794656,692659.0313956465,679948.1834457697,0
7,7,1,CSS,125,104,-106.20327328704765,686654.7451165116,717403.9629278278,0
8,8,1,CSS,130,105,-92.50544895805412,685599.574046856,685024.5389584095,0
9,9,1,CSS,112,92,-102.18998203966483,673486.7921516538,681636.6415856641,0
10,10,1,CSS,115,97,-108.20874995154455,654046.4395910169,691625.1132143292,0
11,11,1,CSS,126,107,-104.50018896792207,712169.7773847929,693482.500089611,0
12,12,1,CSS,123,104,-101.27358784087694,679442.038095262,676964.9575056038,0
13,13,1,CSS,120,105,-107.07866899047528,662455.6043923612,673877.1701469868,0
14,14,1,CSS,135,119,-110.56646930004456,659879.211542644,653513.3930125341,0
15,15,1,CSS,125,107,-100.16747977991167,694790.8743109503,702378.9178459347,0
16,16,1,CSS,132,102,-94.04965351437464,691505.7735027225,696029.0421189596,0
17,17,1,CSS,130,107,-110.33761841252922,734411.963794069,694387.4158214505,0
18,18,1,CSS,137,104,-91.84421597756626,692110.8116525585,684751.6053350557,0
19,19,1,CSS,112,100,-106.80150355003926,678479.3622520501,717492.1624348736,0
20,20,1,CSS,132,102,-104.2151233141505,704940.7500334798,673304.9093059122,0
21,21,1,CSS,122,102,-110.21771577416695,704220.6962558514,731538.2466817732,0
22,22,1,CSS,107,96,-107.46272687986335,689896.4485981109,721924.8365102735,0
23,23,1,CSS,126,102,-103.04986896366817,705442.3940384418,700625.8484462362,0
24,24,1,CSS,118,102,-107.52887668246872,706513.3675444163,661462.4194915822,0
25,25,1,CSS,147,127,-106.41761021413633,668049.3759670977,708773.6370017879,0
26,26,1,CSS,104,75,-92.92959971760408,687748.6911052318,695282.0378458534,0
27,27,1,CSS,131,111,-110.6201875202041,736179.9717604434,689977.2498596596,0
