,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,CSS,35,34,-111.13087967001806,714733.3877880061,646756.350159526,0
1,1,CSS,27,27,-102.59925558229686,687953.6451230791,670892.648148515,0
2,2,CSS,45,43,-86.97005666198646,686610.9252722738,690675.6959781754,0
3,3,CSS,37,36,-89.5369045862598,685282.5771493799,689467.9593972923,0
4,4,CSS,41,40,-85.58965628460672,688354.6258457319,687012.3357345205,0
5,5,CSS,34,34,-92.3987320135127,685002.4919888906,685734.9405326984,0
6,6,CSS,35,35,-101.38211221204006,685702.7345212288,673695.809249339,0
7,7,CSS,39,39,-97.41062047693936,699631.238734553,689566.4933820997,0
8,8,CSS,39,39,-102.40801763421305,707313.2254867918,692525.3384098111,0
9,9,CSS,47,47,-111.11495788613198,643864.6442664701,669990.200693404,0
10,10,CSS,33,33,-109.47628549715299,727660.4452674703,674644.0532575003,0
11,11,CSS,52,51,-86.79812777015982,692397.6185361218,689802.8903263749,0
12,12,CSS,34,34,-93.75315738131899,683533.9370528295,686175.7659082618,0
13,13,CSS,28,28,-95.27031724744714,694688.1787524931,683412.9505133133,0
14,14,CSS,49,47,-87.66464528945374,692471.016773547,690719.9583248058,0
15,15,CSS,32,32,-107.94246132191086,685718.4271540397,723576.0024539122,0
16,16,CSS,39,39,-96.44129829522707,691758.4121672891,680575.4270628868,0
17,17,CSS,28,26,-87.94814705630355,686386.2922724782,687775.3233397552,0
18,18,CSS,34,34,-95.13131592395293,695374.3170813759,694534.8269809023,0
19,19,CSS,34,32,-86.4460969266156,691232.351781892,691658.1508194854,0
20,20,CSS,37,37,-111.92241155340785,672754.8274792179,741132.8728405911,0
21,21,CSS,33,33,-96.0096591386465,698088.478146026,688801.2060895215,0
22,22,CSS,39,39,-103.93789370421973,669370.9216285227,697658.3550962535,0
23,23,CSS,37,37,-103.73897518985387,700927.4195368538,671635.4313483228,0
24,24,CSS,29,29,-101.70692447584956,702378.0719283579,700032.7016783997,0
25,25,CSS,36,35,-95.73901668862408,697442.299030624,686842.5321065615,0
26,26,CSS,39,39,-101.40584402646954,702257.0293970415,699266.2810770241,0
27,27,CSS,33,31,-88.71827079715794,693041.2661515037,688441.651004652,0
28,28,CSS,27,25,-91.42952914916415,684714.7614328377,691485.4649127721,0
29,29,CSS,43,41,-98.7355073218243,696477.7155610869,698992.632661908,0
30,30,CSS,35,35,-105.56279046688722,679515.9180743754,713593.6919876245,0
31,31,CSS,37,36,-103.09254078552254,702780.4434508488,674995.1771480303,0
32,32,CSS,35,35,-99.49932004304678,695094.0046733308,677718.8772632434,0
33,33,CSS,39,39,-111.1378993351808,655323.8199709135,653318.2433996404,0
34,34,CSS,39,39,-100.66403274152387,696083.0063871569,676126.8043557979,0
35,35,CSS,34,34,-105.8608632601381,663093.9712423496,683195.5353550129,0
36,36,CSS,36,35,-88.82036501696093,687171.0816384137,692482.9806807018,0
37,37,CSS,35,34,-97.84296961049922,684101.3208655416,680071.7791308471,0
38,38,CSS,35,34,-94.56025484939454,691903.8580736158,696338.0487803217,0
39,39,CSS,36,35,-102.84926830289486,706579.8774535465,697821.0919045359,0
40,40,CSS,38,38,-106.95735570532268,699650.4243424142,718331.3210115617,0
41,41,CSS,22,22,-103.78906855163368,691508.5177959038,710610.138265769,0
42,42,CSS,29,29,-104.95284836113038,666578.7765062382,680928.6651100202,0
43,43,CSS,39,39,-84.21915750492813,690858.4499587661,691118.4348091688,0
44,44,CSS,36,36,-98.97329501309777,697638.4608851485,698468.1747809697,0
45,45,CSS,52,50,-84.27706424831297,689139.1305183128,687174.0855541714,0
46,46,CSS,41,40,-83.73301575799539,691219.6387162256,690510.3916943126,0
47,47,CSS,36,35,-94.2372625837708,682613.1669382089,687385.3569844115,0
48,48,CSS,38,38,-97.1839582688365,699200.1635480663,691237.6940895702,0
49,49,CSS,42,40,-84.36647602840738,691643.9282447301,688966.7556782548,0
50,50,FHSS,28,15,-106.74873661183327,696403.4194919129,718534.7418916209,0
51,51,FHSS,25,9,-86.9921199408744,688254.4412433133,686556.1225492932,0
52,52,FHSS,39,23,-98.40544665507153,700385.9803309039,692715.9256861066,0
53,53,FHSS,33,9,-85.24785694000404,687641.1987206549,691204.7116891525,0
54,54,FHSS,47,22,-91.85233559010291,684565.7330952622,691772.4820867827,0
55,55,FHSS,39,15,-88.409080737587,690844.5332045244,686080.3464839569,0
56,56,FHSS,37,16,-96.64722992250105,691407.3995176986,680264.9303639025,0
57,57,FHSS,31,17,-109.7896439563836,702053.7586847014,729994.5248622486,0
58,58,FHSS,24,11,-89.85370109441855,687780.8125102264,693370.7460763305,0
59,59,FHSS,30,13,-95.5716194076633,697660.2098048152,688810.17190191,0
60,60,FHSS,45,24,-101.77105199974768,688868.4051283005,706288.5171028571,0
61,61,FHSS,32,15,-99.78240119310315,684642.2230044156,676855.3690297084,0
62,62,FHSS,34,15,-100.41986574252748,700605.7622822069,680268.7095572848,0
63,63,FHSS,29,15,-107.88816300352062,703272.2856964424,720621.1745847139,0
64,64,FHSS,37,17,-84.54912337719324,691157.7147490821,687876.4159113152,0
65,65,FHSS,34,15,-111.53511702387634,655514.2195423761,650019.5945188208,0
66,66,FHSS,41,19,-110.26091437462955,667422.5672555172,728532.274801297,0
67,67,FHSS,30,13,-109.19051110620047,649741.6982785569,690020.6109007272,0
68,68,FHSS,37,18,-87.22366662116868,691185.5666489693,686792.1356704322,0
69,69,FHSS,26,15,-101.8477660010384,675428.4961502501,679678.7781014876,0
70,70,FHSS,49,23,-97.3956359014941,689685.246781971,699611.1169880502,0
71,71,FHSS,24,11,-106.58451665467567,715552.510921254,675978.9693113987,0
72,72,FHSS,33,15,-93.3516285280009,686566.9530486285,683671.3602358087,0
73,73,FHSS,43,18,-103.61223278920869,707927.3259161663,699046.4517869481,0
74,74,FHSS,33,21,-110.83500294350858,678166.12276755,642804.7858721426,0
75,75,FHSS,26,8,-110.76302228403233,662930.1326537046,728902.3530108758,0
76,76,FHSS,25,11,-107.78812169313775,671995.543575599,660491.1955434876,0
77,77,FHSS,44,30,-108.67060823018753,677911.1292992014,724966.4504292157,0
78,78,FHSS,27,7,-84.41718244775885,691505.9691154885,688486.1762600127,0
79,79,FHSS,33,15,-104.89887133063982,666154.3101329404,682698.399568941,0
80,80,FHSS,19,9,-104.55557539826142,702181.6251867955,708861.2167194677,0
81,81,FHSS,23,10,-93.21855375848115,683312.5614197204,691024.3486455013,0
82,82,FHSS,39,14,-92.65622888754018,695233.2198510373,688380.1153496375,0
83,83,FHSS,41,22,-96.44375935023635,697804.1878378488,685780.6465650911,0
84,84,FHSS,34,16,-94.82004239469131,683514.1230630423,684639.6091259319,0
85,85,FHSS,30,17,-88.69009613539684,685687.2762669944,689009.6835653892,0
86,86,FHSS,38,17,-107.0027477437368,705364.2905950677,663017.5814825987,0
87,87,FHSS,37,18,-92.41351839136414,692153.1467595234,684357.1542029221,0
88,88,FHSS,36,19,-101.54230222659542,683685.1782161384,704829.4825465147,0
89,89,FHSS,30,16,-98.87498560252514,686912.2962547248,677573.3967243747,0
90,90,FHSS,28,8,-83.59137716315203,690278.5917526111,691303.9802778295,0
91,91,FHSS,29,7,-82.7532054381128,690954.6508304509,690502.8716326263,0
92,92,FHSS,38,18,-106.44508740862834,668879.1862601632,669040.6522407988,0
93,93,FHSS,45,23,-100.5838530043389,698591.7887473975,677893.3517086799,0
94,94,FHSS,27,13,-99.73897924361673,676095.1361960203,690541.6285181415,0
95,95,FHSS,36,14,-87.50434320302034,686746.6780956464,691302.3096349493,0
96,96,FHSS,36,16,-98.92693093004955,698166.4152395617,697865.3672888293,0
97,97,FHSS,37,18,-105.11999438087803,671887.2058395719,671819.671602485,0
98,98,FHSS,31,17,-89.68371531091385,687355.6529846058,693072.8010745546,0
99,99,FHSS,37,8,-92.55040059523225,693114.8497694749,684894.2715484139,0
100,100,FHSS,34,12,-92.83038850593934,683494.5274175301,688233.3729210369,0
101,101,FHSS,30,12,-92.94412170199658,687239.8259062262,695124.4110326066,0
102,102,FHSS,32,11,-100.77786261537369,679305.3108148956,678242.7754646655,0
103,103,FHSS,43,20,-108.3081858850528,655980.5735738431,702335.3869658805,0
104,104,FHSS,31,13,-95.95377491200642,695379.3370156771,695662.5560379192,0
105,105,FHSS,44,17,-95.5300512648604,691121.0024447661,681359.001057802,0
106,106,FHSS,31,8,-102.23030661943865,679180.1216860424,674841.1866402292,0
107,107,FHSS,30,11,-82.17333264488175,687992.5164644487,690467.4560733543,0
108,108,FHSS,29,9,-87.17832661856288,688358.435332961,686445.2437109457,0
109,109,FHSS,25,15,-95.5936748614503,696841.3182558137,693091.9143681863,0
110,110,FHSS,38,23,-108.7530184566879,655597.8355952383,672682.0337123994,0
111,111,FHSS,43,19,-100.79452050527871,675909.0428011736,682671.3306804897,0
112,112,FHSS,27,13,-105.09771659826595,706478.0616749605,671463.8811359128,0
113,113,FHSS,21,9,-108.61977900889167,684963.9392264119,652527.2326095819,0
114,114,FHSS,37,13,-92.95905989458045,685565.7492546155,684646.5666035007,0
115,115,FHSS,24,11,-88.85416126919719,691231.1782177621,686056.2762902981,0
116,116,FHSS,33,14,-111.43637973083176,648550.6259459425,720562.1955075511,0
117,117,FHSS,35,17,-110.77501107067181,731010.0152049265,712575.0852870158,0
118,118,FHSS,37,24,-108.19279257860455,671952.2298994361,720170.4039596133,0
119,119,FHSS,43,17,-96.80929604541136,685244.8424331839,697990.7113545041,0
120,120,FHSS,36,12,-99.01353845145647,684929.2194288485,677964.1220088417,0
121,121,FHSS,41,15,-98.61387134179299,678646.3329222929,694096.4230565869,0
122,122,FHSS,34,17,-91.63932165300564,690349.5488909096,684235.8953614666,0
123,123,FHSS,32,20,-108.3614684535176,695997.8911902903,724866.6623987103,0
124,124,FHSS,32,12,-103.3421402675213,678357.2067719565,706359.1226526555,0
125,125,FHSS,29,12,-90.95403506245155,685420.7775857169,692186.3743684904,0
126,126,FHSS,28,16,-88.26705487603164,691573.9752568953,692247.6846244313,0
127,127,FHSS,28,16,-110.02792754754975,674184.4992360862,648460.757355496,0
128,128,FHSS,32,12,-87.89900049399351,692830.1925329027,689430.0537787478,0
129,129,FHSS,39,24,-103.28982108711845,702184.03297595,673874.8451976526,0
130,130,FHSS,35,5,-87.48769493621063,688401.735570808,692512.0002989712,0
131,131,FHSS,36,22,-105.49658937066663,678440.573751071,712906.4681666049,0
132,132,FHSS,47,25,-110.34384615179061,720044.7561743004,656028.8788200509,0
133,133,FHSS,29,14,-102.08734578917023,702985.4285724603,678346.5650684786,0
134,134,FHSS,28,15,-94.48550494947062,684353.9431801403,684147.9539675347,0
135,135,FHSS,30,19,-105.13750127528944,668552.8445162054,675847.597159781,0
136,136,FHSS,39,16,-90.88043375413592,684760.1762616676,688147.1105889098,0
137,137,FHSS,27,18,-104.95156849325684,690383.1576478928,665077.0620533044,0
138,138,FHSS,37,18,-98.399208648422,692877.0649145117,678494.473136587,0
139,139,FHSS,32,9,-84.96604815395023,687181.5883372835,690401.1448197829,0
140,140,FHSS,41,18,-110.3750172087388,734454.2920898807,695630.4525592322,0
141,141,FHSS,43,13,-82.38491322358746,688767.5751754494,687716.7824967741,0
142,142,FHSS,43,17,-107.05586990167825,668665.0046392046,666336.5752213352,0
143,143,FHSS,33,19,-104.17311518826598,703892.2476169643,672497.8649969794,0
144,144,FHSS,31,15,-103.2421764172515,702011.4469140389,704946.0448549907,0
145,145,FHSS,33,19,-110.32982914695441,644309.8207796828,692884.0224011113,0
146,146,FHSS,27,9,-89.26647225509856,692971.3089688111,691239.1633085081,0
147,147,FHSS,37,14,-92.87205646570293,695434.8945499221,690085.5238203517,0
148,148,FHSS,31,19,-109.5926618589697,706590.3824652369,651574.4043928345,0
149,149,FHSS,35,15,-90.83587045241727,684748.3945842655,688292.7123601974,0
150,150,FHSS,34,14,-87.49731824015005,692307.0256980533,690918.1310365299,0
151,151,FHSS,28,9,-83.09964943882751,688084.0438236855,687958.037700814,0
152,152,FHSS,30,14,-106.1287419332973,717225.5977104038,687388.9455057811,0
153,153,FHSS,44,22,-87.54082193779585,692674.1049712927,689754.303940965,0
154,154,FHSS,36,13,-84.1514774176045,690565.2755854029,687513.4711344509,0
155,155,FHSS,40,16,-88.914074140045,693058.9829535162,690620.0468086414,0
156,156,FHSS,41,24,-102.52198485224412,676726.3074356859,676066.8314159373,0
157,157,FHSS,32,12,-89.53646870663792,693328.4488201886,690714.4582845257,0
158,158,FHSS,44,23,-105.77601569884558,668419.6791857784,672784.6538793137,0
159,159,FHSS,27,14,-97.53648302531762,682714.2017020457,697329.4913717143,0
160,160,FHSS,35,13,-91.93977777489792,686193.5927264194,693803.3108225074,0
161,161,FHSS,32,14,-92.18825637438609,687891.1747380886,694803.5652975836,0
162,162,FHSS,24,11,-99.0214347879733,678473.0416094897,683775.9799979195,0
163,163,FHSS,35,13,-94.37544874464976,685829.6279183166,695665.1338383461,0
164,164,FHSS,30,19,-105.56392400729747,663763.4449705359,694420.6283324014,0
165,165,FHSS,33,16,-97.66058395155237,697933.1928953262,683243.3883006215,0
166,166,FHSS,39,18,-100.44963680783886,702822.2529231746,683890.1813602392,0
