,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,CSS,867,597,-111.49997976653853,641804.870089551,669099.2083460474,0
1,1,CSS,891,671,-97.51852872027428,690174.4159906346,679089.9970143265,0
2,2,CSS,933,764,-111.30329860594571,647702.534402216,660763.1158140576,0
3,3,CSS,878,675,-94.47709000459085,682239.4119113296,688092.4105717237,0
4,4,CSS,855,628,-87.35906316822759,687697.5053195708,692129.1583065813,0
5,5,CSS,874,726,-108.43584796146564,658395.3985148359,708410.692063352,0
6,6,CSS,902,703,-93.25101363975895,685375.3328266176,684531.8835382579,0
7,7,CSS,879,669,-95.74492346040107,681252.5641078837,687257.9831898094,0
8,8,CSS,916,695,-88.26762479681003,688035.4314610759,686119.3859814914,0
9,9,CSS,878,744,-111.13888289849338,738475.8120375575,697015.2998922314,0
10,10,CSS,875,638,-85.65030638306582,689706.6757447788,692033.7275206512,0
11,11,CSS,892,691,-100.4195229371232,699485.037205052,679047.5323118786,0
12,12,CSS,834,652,-102.07844291565094,679888.4011457713,704086.7926524493,0
13,13,CSS,890,704,-104.32279903202476,674488.4126233212,672368.0600820751,0
14,14,CSS,888,672,-92.85077650041606,694992.6856711057,691736.3989059102,0
15,15,CSS,878,632,-82.57319481656113,690588.1367414251,690840.7684507646,0
16,16,CSS,875,711,-108.59990315894103,725936.733098388,695716.3430869259,0
17,17,CSS,886,691,-101.51252507758272,683753.5207669717,704794.7298466411,0
18,18,CSS,859,615,-82.06832551666427,691157.079357638,689342.6408993028,0
19,19,CSS,855,679,-107.05674066219305,717311.0665788067,675824.066823622,0
20,20,CSS,889,703,-105.18694244524968,691948.1948984453,714304.3451085092,0
21,21,CSS,906,691,-92.72023316558366,684826.8300567777,685607.6584734204,0
22,22,CSS,857,682,-93.21598216536223,690761.6174190737,695571.0424798264,0
23,23,CSS,827,653,-100.57434384073964,702566.0365526206,695999.9017242513,0
24,24,CSS,906,764,-111.73776346180652,664804.0703867731,736572.172770747,0
25,25,CSS,862,721,-108.8739231631022,715984.7794261198,716928.2660139622,0
26,26,CSS,873,634,-85.08815481372113,687150.4079028845,690416.0224694603,0
27,27,CSS,934,715,-100.76319732512405,675265.5048907012,694509.4713592081,0
28,28,CSS,904,705,-90.5356036286426,687487.7806950241,685197.2306969567,0
29,29,CSS,875,596,-83.23619539655714,689754.125602313,691380.2250255514,0
30,30,CSS,901,714,-109.4739211707798,713432.575139845,722624.4274690173,0
31,31,CSS,878,701,-109.52157815844156,705314.7804566184,727434.3656228522,0
32,32,CSS,866,662,-94.65364728383491,696851.6028712251,689293.1009144573,0
33,33,CSS,830,667,-103.29143333773511,669334.837748923,690683.9443281128,0
34,34,CSS,929,696,-94.8088411227197,686050.7835614104,696200.7025288141,0
35,35,CSS,899,686,-94.62666625689727,682382.6147111986,691784.8798405144,0
36,36,CSS,852,686,-108.45412038701309,684045.9803532873,725463.0499278227,0
37,37,CSS,938,667,-88.45724112717764,686039.9499210346,688021.4285798958,0
38,38,CSS,937,727,-99.69658584692831,684839.6565983107,701899.3365244905,0
39,39,CSS,877,693,-98.81781385749547,697096.3373458468,680170.1287116988,0
40,40,CSS,839,645,-92.83537254201384,694067.7966080873,693251.2455807844,0
41,41,CSS,896,723,-108.89814792196847,655501.2354472283,671475.5895454313,0
42,42,CSS,893,647,-85.22613068246545,691195.3908094754,691181.2717587411,0
43,43,CSS,898,670,-91.94321065489953,690304.6735560214,694783.9780328282,0
44,44,CSS,928,759,-111.67700756511567,637751.585272103,700441.4911564015,0
45,45,CSS,818,584,-83.3634576360108,687561.5383334103,688577.9995994018,0
46,46,CSS,873,713,-110.48293424933044,680456.7204063707,734570.9511518236,0
47,47,CSS,892,702,-101.120438201015,679371.8056286926,677382.3700773997,0
48,48,CSS,848,637,-95.10594837731155,689378.4543734841,681571.7601751729,0
49,49,CSS,901,741,-108.27301026968219,659434.2515391551,708793.0767141343,0
50,50,FHSS,37,5,-105.6042251343426,676144.1586929996,712066.0414191133,0
51,51,FHSS,37,9,-109.00862479672196,689733.3161304996,728261.4961254343,0
52,52,FHSS,30,3,-107.16533960747053,687481.6518597909,720774.6855354211,0
53,53,FHSS,36,3,-94.90306656137825,693842.8216401711,683165.2936770916,0
54,54,FHSS,39,3,-92.97225214935219,683974.58490677,692247.408084894,0
55,55,FHSS,37,8,-103.7638562949822,669103.6196823481,683183.119015495,0
56,56,FHSS,27,5,-106.32076130012032,661119.4633353808,692944.8537444017,0
57,57,FHSS,35,5,-90.68808271358228,685402.0716136874,691890.8710377372,0
58,58,FHSS,42,5,-103.46375167390264,675030.8541217673,674773.2615306684,0
59,59,FHSS,22,4,-109.93178651324197,673493.2348022381,649241.325446583,0
60,60,FHSS,31,5,-99.74150312237683,697591.4653139024,699983.339099284,0
61,61,FHSS,32,2,-83.49170468375301,688387.383985756,691197.034197711,0
62,62,FHSS,30,2,-111.55257481781537,706459.9960026612,738613.4828878519,0
63,63,FHSS,38,5,-108.15427712716634,659635.4401815129,670614.175475395,0
64,64,FHSS,34,4,-111.80791772904595,660814.2532729403,644045.9916402033,0
65,65,FHSS,36,3,-85.75853193118022,691446.5284089645,687679.3754069437,0
66,66,FHSS,32,2,-102.74512338134092,701417.3196972583,703994.8183982325,0
67,67,FHSS,34,5,-110.52851057198343,670432.9214100079,647199.7009379264,0
68,68,FHSS,41,7,-97.18969684837701,679460.7639506895,689948.0802243447,0
69,69,FHSS,39,8,-87.13621878381754,688108.706884632,692259.1708430252,0
70,70,FHSS,37,6,-103.4685133933025,709088.8617864841,683554.7516976502,0
71,71,FHSS,29,4,-92.57406312427898,694044.3461638874,685828.0055992777,0
72,72,FHSS,33,5,-86.11704488384936,689698.1347161019,686640.794212928,0
73,73,FHSS,27,3,-107.88599475986973,661781.2234762022,669355.4871611508,0
74,74,FHSS,35,4,-92.21326209579998,694185.2742683202,692373.6323473445,0
75,75,FHSS,40,7,-110.41095857720411,710445.6307565336,648885.6258616573,0
76,76,FHSS,38,3,-98.23460261454099,689771.6773867633,678178.2358816043,0
77,77,FHSS,36,3,-83.41279299086477,688548.1916970767,687562.4964078814,0
78,78,FHSS,39,2,-95.26942613404267,697253.7582605786,690928.649950272,0
79,79,FHSS,30,3,-82.97198874282637,687472.1828544243,689383.7599003012,0
80,80,FHSS,39,4,-96.75865228521909,693827.1945521642,697802.12070996,0
81,81,FHSS,45,6,-99.69090026638327,682739.3148012242,677916.9595232947,0
82,82,FHSS,30,3,-106.0301098044295,715270.6023658698,679842.4368201214,0
83,83,FHSS,43,7,-100.68026880563107,677321.3859116626,680713.0431629197,0
84,84,FHSS,27,3,-98.22351736530815,683961.0454964677,679598.706963908,0
85,85,FHSS,27,7,-84.9535225079614,691542.2972220558,690590.447954704,0
86,86,FHSS,27,6,-106.13534827659124,663760.5854603171,678411.8746954296,0
87,87,FHSS,36,6,-89.61606833847901,686008.5082951554,687006.0558759219,0
88,88,FHSS,34,3,-105.05203605158498,702868.906449246,710047.1445377946,0
89,89,FHSS,32,1,-104.80647989231049,697529.1095600096,711943.0993189682,0
90,90,FHSS,25,0,-105.74589705984384,697825.2655148936,664086.7954610833,0
91,91,FHSS,37,3,-101.27902001663553,675589.4509570504,681438.0948756622,0
92,92,FHSS,37,3,-111.42910151520536,676224.2853661611,739026.0901149586,0
93,93,FHSS,42,7,-83.19646975216443,688449.266880844,687669.0843379067,0
94,94,FHSS,25,3,-92.67516898423168,695109.3633240751,691036.5535834122,0
95,95,FHSS,36,2,-105.63564074721303,665567.2748971366,678197.5822169082,0
96,96,FHSS,34,5,-108.15927321411901,684964.5528762715,724361.8351713482,0
97,97,FHSS,38,6,-100.19440673987816,698397.4760415496,678567.6103451666,0
98,98,FHSS,31,5,-83.25232632611164,691355.3470230618,688931.4529673746,0
99,99,FHSS,25,2,-87.68381842970297,687719.7887585931,686535.9539087645,0
100,100,FHSS,23,1,-108.56548361263216,675519.0007665886,655204.9576935534,0
101,101,FHSS,31,8,-108.03711894407327,724135.7710291086,690456.7014938212,0
102,102,FHSS,30,4,-93.83011305703106,691611.3414445304,695811.7591179458,0
103,103,FHSS,39,4,-106.05411432064774,675122.3161404193,713082.1600408773,0
104,104,FHSS,32,2,-85.53487717922421,687655.0901168797,691334.5887321401,0
105,105,FHSS,29,1,-101.62065057027488,681931.2363023811,704226.2706758557,0
106,106,FHSS,35,8,-87.33751983378552,687536.4007788766,692010.8535298338,0
107,107,FHSS,29,4,-94.88579222937169,696037.878156564,685602.9091156299,0
108,108,FHSS,38,6,-98.96077865463346,700947.5331834893,693436.0525488312,0
109,109,FHSS,41,5,-107.24728505557394,680450.6282109176,719839.9783679015,0
110,110,FHSS,48,7,-96.05891507713906,680669.4634173844,689065.8576820465,0
111,111,FHSS,40,5,-98.14993504684465,700476.9066023943,688222.6125580842,0
112,112,FHSS,34,3,-105.3480397258072,668354.6675324341,703777.9114162468,0
113,113,FHSS,42,5,-83.99167381760765,687822.6272399661,690904.9292653508,0
114,114,FHSS,35,6,-110.0074665142445,700345.6764944309,731603.7702980376,0
115,115,FHSS,41,5,-95.09559758232109,696470.9054227284,686024.824961551,0
116,116,FHSS,38,7,-111.63053033217206,722937.1218696852,648955.3038750257,0
117,117,FHSS,21,2,-90.4166598354698,686795.6789191285,693157.3446185648,0
118,118,FHSS,39,8,-83.72833660986579,689366.794044838,687296.0395040523,0
119,119,FHSS,33,5,-108.95516105889027,668958.9918774446,722163.2819371014,0
120,120,FHSS,41,9,-95.32608992598139,697324.1774222386,687985.5969391217,0
121,121,FHSS,43,8,-97.2260825244976,679410.8314640764,689053.6674081907,0
122,122,FHSS,35,4,-96.57357799268107,681614.7882894697,684372.9850779197,0
123,123,FHSS,37,5,-82.97334804300601,688973.9899531255,687521.5680437936,0
124,124,FHSS,36,8,-105.1617643944422,709353.9882697323,674418.5410093967,0
125,125,FHSS,22,2,-101.48694340849498,693932.9384824878,705115.7887203016,0
126,126,FHSS,30,3,-108.9452438080212,710252.0920888904,656957.2693091301,0
127,127,FHSS,17,4,-108.0730670895543,694420.6711182578,654887.9953551735,0
128,128,FHSS,29,6,-105.0439952453704,711322.4224625153,678197.9478938518,0
129,129,FHSS,41,7,-108.5751465966601,653194.8018084625,696790.9785022141,0
130,130,FHSS,36,4,-106.79270816782218,676263.6520972529,716491.6664129084,0
131,131,FHSS,39,7,-91.00490299366619,684655.6312291853,690546.5095145701,0
132,132,FHSS,33,7,-84.06915549429615,690762.8094704222,687675.213803063,0
133,133,FHSS,40,4,-104.3043916531069,698951.178663758,668918.0728116318,0
134,134,FHSS,37,6,-111.42051904574532,640100.8427438148,703512.4826274482,0
135,135,FHSS,36,5,-106.69179017036235,691983.457890281,719055.2669057928,0
136,136,FHSS,43,5,-91.65819000957427,687195.2404962081,694193.6181279558,0
137,137,FHSS,40,4,-103.24837600817915,673969.034616035,676674.1969130232,0
138,138,FHSS,41,7,-98.69665563841536,683153.2513740001,679345.0008329395,0
139,139,FHSS,33,3,-96.97777166762468,685533.3352311823,680493.023592653,0
140,140,FHSS,45,7,-107.22639351483014,660892.6784182378,675696.4962895092,0
141,141,FHSS,39,9,-83.12799338423355,687701.3167872586,690398.0399539333,0
142,142,FHSS,30,1,-87.98615406965081,692855.9341989215,689164.713485082,0
143,143,FHSS,41,6,-87.48662236258393,689320.0636894722,686151.5641620744,0
144,144,FHSS,35,6,-96.24714687116386,686263.832762055,681043.265836552,0
145,145,FHSS,22,5,-100.14031016633359,698354.2088366675,700176.6713279232,0
146,146,FHSS,36,3,-93.5280210132297,695881.9312031531,688483.6503609823,0
147,147,FHSS,34,4,-106.56081310550596,683945.6748116583,660614.7060799182,0
148,148,FHSS,40,4,-103.75503118692038,673982.1343070415,703978.4436958184,0
149,149,FHSS,19,3,-89.30241292417385,688951.2519004167,685418.5418767317,0
