,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,0,1,CSS,62,37,-107.64935004268328,690503.5877758106,722616.7130218826,0
1,1,1,1,CSS,60,38,-81.05991681857898,688933.0531053816,690891.6517267202,0
2,2,2,1,CSS,52,35,-100.41704045058734,702474.8172933473,695583.9245033117,0
3,3,3,1,CSS,69,51,-112.38254674857596,636400.0665874311,711146.2300110911,0
4,4,4,1,CSS,53,38,-86.35605096024385,687496.9141792533,691539.7532430346,0
5,5,5,1,CSS,74,58,-112.56989160131091,654758.8408119429,736596.8965737672,0
6,6,6,1,CSS,67,52,-92.0854656433492,684181.5187682781,691229.77293515,0
7,7,7,1,CSS,60,43,-91.13028192637084,694371.105123679,689391.1143512898,0
8,8,8,1,CSS,66,46,-104.891978968231,665955.0435953928,695311.9816954238,0
9,9,9,1,CSS,65,41,-93.94112435182616,694632.156678795,684968.3846432848,0
10,10,10,1,CSS,66,45,-116.14267971889544,626547.9944827302,627357.4093495858,0
11,11,11,1,CSS,57,41,-109.96979154740214,661007.4305771735,722222.9617486778,0
12,12,12,1,CSS,52,36,-110.13055434724922,718192.1043704656,655854.191175038,0
13,13,13,1,CSS,74,55,-86.89314414123272,689695.3291410992,686378.9503556836,0
14,14,14,1,CSS,68,47,-92.47824902430814,695103.8752053307,690482.6116275861,0
15,15,15,1,CSS,56,39,-94.34627149127992,682670.8165488304,686928.5494362809,0
16,16,16,1,CSS,62,39,-105.78800791216491,708677.046233098,670759.6411158268,0
17,17,17,1,CSS,64,45,-94.64178238320416,685259.1275386683,683247.6125700227,0
18,18,18,1,CSS,58,43,-96.08679292772015,697924.1526336175,687277.3001329625,0
19,19,19,1,CSS,52,34,-94.16469330823296,691573.2310088405,682717.362823097,0
20,20,20,1,CSS,60,46,-102.03182852857734,700541.6520651302,676035.653592114,0
21,21,21,1,CSS,66,40,-97.38663202345472,698784.3983730936,685405.8326158109,0
22,22,22,1,CSS,69,46,-115.55538184428376,771442.2599525694,680116.4708946192,0
23,23,23,1,CSS,69,44,-76.40027801983247,690129.414118032,689969.3915404853,0
24,24,24,1,CSS,60,47,-105.77984045721172,682501.7802541838,715294.689996095,0
25,25,25,1,CSS,69,44,-79.68757739320122,690733.5601705111,689285.5917744639,0
