,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,0,1,CSS,60,31,-110.750523835246,710454.9885900344,646849.7865773841,0
1,1,1,1,CSS,61,39,-108.54560738488168,682634.7469752885,725617.3451859392,0
2,2,2,1,CSS,55,40,-109.28737666488472,664394.0345116125,658047.3546221808,0
3,3,3,1,CSS,65,36,-109.94724090384972,672694.6744058772,729338.4084616923,0
4,4,4,1,CSS,77,54,-108.77194236722278,653461.129068952,701116.1313396703,0
5,5,5,1,CSS,68,44,-109.2811939052112,671936.4064020881,653329.486077244,0
6,6,6,1,CSS,66,47,-109.34585288398416,663690.5018113954,658269.3710281593,0
7,7,7,1,CSS,72,53,-109.23094792904176,654695.3653279926,708996.0427829725,0
8,8,8,1,CSS,67,43,-106.80911927584047,672123.0742419299,664697.162678376,0
9,9,9,1,CSS,52,43,-108.79772730736072,664541.0815624244,660785.7947422252,0
10,10,10,1,CSS,59,35,-109.2945115558681,663514.9854765559,720096.0071042164,0
11,11,11,1,CSS,63,47,-107.00414005970865,708161.8093848281,664919.5292360141,0
12,12,12,1,CSS,64,43,-108.40592563865218,722767.1442404703,675225.0981610782,0
13,13,13,1,CSS,55,45,-109.06954484459904,720217.7358945846,713530.1411687167,0
14,14,14,1,CSS,52,28,-108.84290974256518,724516.1112511675,674558.9286564785,0
15,15,15,1,CSS,55,39,-109.15960370449972,714125.4625358898,720266.4432696361,0
16,16,16,1,CSS,61,46,-111.03344015582772,651889.3618647413,657817.0731743423,0
17,17,17,1,CSS,63,37,-108.58035882003132,725740.3166299564,696331.8627349025,0
18,18,18,1,CSS,62,42,-110.59153345742592,683603.8107022734,735666.2440837162,0
19,19,19,1,CSS,53,33,-111.40446115116008,672217.2988417267,641192.6174922524,0
20,20,20,1,CSS,70,39,-107.960782021327,657582.7976074269,676264.1338097132,0
21,21,21,1,CSS,69,46,-107.11855705415807,702905.0940314205,717602.0141178473,0
22,22,22,1,CSS,62,39,-109.52238708475365,668454.7623249433,724905.4939792439,0
23,23,23,1,CSS,63,48,-109.04722328262412,651896.8052413823,678658.0707532716,0
24,24,24,1,CSS,54,42,-108.39526055709216,696584.3502174371,724896.1048320659,0
25,25,25,1,CSS,61,41,-108.90599728796012,718629.194121308,664500.9563566904,0
26,26,26,1,CSS,67,44,-109.20341531077372,694639.7519189386,728798.4236077522,0
27,27,27,1,CSS,59,40,-110.21169541364254,732538.697134659,700868.3760369666,0
28,28,28,1,CSS,64,49,-110.0798051885664,728021.3303968468,668412.2247160982,0
29,29,29,1,CSS,61,42,-107.87652974581448,661472.2686242372,669852.9369232062,0
30,30,30,1,CSS,66,41,-108.12647375531188,664167.5203068592,665023.321979586,0
31,31,31,1,CSS,78,50,-110.67370175258036,713501.7499956045,729838.9165547125,0
32,32,32,1,CSS,78,54,-108.02302327129276,666779.4636745773,715694.1874871945,0
33,33,33,1,CSS,61,41,-109.95317226709882,709012.1807916845,650784.7413581572,0
34,34,34,1,CSS,62,40,-109.71227836787143,719347.1901894521,719055.287227472,0
35,35,35,1,CSS,66,42,-109.3274569856642,729328.186118056,683837.1433936002,0
36,36,36,1,CSS,63,44,-110.47134328366712,689702.8681813987,643434.205570753,0
37,37,37,1,CSS,69,40,-110.7528158720483,657693.8239143894,724759.50964128,0
38,38,38,1,CSS,58,34,-110.26465041451758,730330.7801946022,670937.5007492844,0
39,39,39,1,CSS,54,39,-109.05789750094851,718375.1177728439,715636.3295290347,0
40,40,40,1,CSS,66,40,-108.1127797023956,720955.9886840992,674145.770555355,0
41,41,41,1,CSS,69,47,-109.65340145030702,661089.1875240526,720215.7658077067,0
42,42,42,1,CSS,57,41,-109.99546999284874,716887.2091197813,723169.1749768337,0
43,43,43,1,CSS,52,33,-110.67763089360729,734639.5831702645,702493.8359192498,0
44,44,44,1,CSS,72,49,-109.64906890203956,691066.7123819123,647618.999818831,0
45,45,45,1,CSS,47,30,-109.72649180528136,696623.5599176685,730989.3208923418,0
46,46,46,1,CSS,62,42,-109.10589988980016,728507.1774175839,693302.652434573,0
47,47,47,1,CSS,52,39,-108.2379258910536,719252.7929945834,670085.2388917586,0
48,48,48,1,CSS,69,51,-109.73519090338957,655823.5610910199,663793.9688941347,0
49,49,49,1,CSS,60,38,-108.2876718594187,659965.3169724772,709697.2329449953,0
50,50,50,2,FHSS,14,2,-110.8940266688118,714227.8208418803,730813.4702665154,0
51,51,51,2,FHSS,19,4,-111.3300871938261,736536.1547567572,670560.0411283193,0
52,52,52,2,FHSS,11,2,-109.60172076522952,677222.4457979057,649639.3537815199,0
53,53,53,2,FHSS,16,4,-110.15422792839428,720372.4114425688,721136.1486943712,0
54,54,54,2,FHSS,15,1,-108.16395547459678,686706.0212237212,654263.3983729287,0
55,55,55,2,FHSS,15,2,-107.77232169175232,661035.2222874428,671236.0218876493,0
56,56,56,2,FHSS,16,2,-111.2227945657094,710017.5328413679,735112.7042911269,0
57,57,57,2,FHSS,12,4,-110.62197096590576,695747.6991322271,735761.8592831071,0
58,58,58,2,FHSS,22,6,-110.24817872264164,712849.9718836274,727603.7038465383,0
59,59,59,2,FHSS,21,4,-109.14561249432283,653358.2367575925,705474.4519905851,0
60,60,60,2,FHSS,11,3,-109.04394046811944,717107.3324383291,716882.8531551474,0
61,61,61,2,FHSS,13,2,-106.9619679225556,669908.3477922234,713114.9544238365,0
62,62,62,2,FHSS,18,4,-108.07450371690187,720705.8577676669,673984.7511031742,0
63,63,63,2,FHSS,14,2,-105.96614188516564,716589.2976497436,686170.5666946738,0
64,64,64,2,FHSS,14,4,-109.47572667694604,650646.2059068212,702758.5549090019,0
65,65,65,2,FHSS,13,3,-107.95989781769111,715259.4447187469,712159.4296105867,0
66,66,66,2,FHSS,17,3,-109.8618835145528,651150.4343810987,708731.9016532591,0
67,67,67,2,FHSS,14,3,-110.34990805044026,728037.0175326822,665668.8202724492,0
68,68,68,2,FHSS,10,4,-108.89666468999124,691611.0118967448,651119.8973839092,0
69,69,69,2,FHSS,14,3,-106.34705366196076,679258.4427697317,716146.014531397,0
70,70,70,2,FHSS,13,4,-109.5941765282724,726030.1414244131,709067.5501152009,0
71,71,71,2,FHSS,18,6,-110.69484223457007,647248.0653299197,668247.9437288983,0
72,72,72,2,FHSS,13,0,-109.4839664441176,729702.446149028,681622.6788696233,0
73,73,73,2,FHSS,13,2,-109.94969348615685,717328.6699246016,722506.2502004633,0
74,74,74,2,FHSS,12,4,-108.46255060442108,711569.9752084301,660426.6090654607,0
75,75,75,2,FHSS,12,1,-110.13493716818311,733634.8583858503,688614.0754329497,0
76,76,76,2,FHSS,15,4,-110.83716865078694,676921.5957714432,643110.3761479246,0
77,77,77,2,FHSS,21,4,-107.10849745745574,668026.6593814003,712154.6545178591,0
78,78,78,2,FHSS,13,1,-106.89546041499524,695760.2522498335,719203.592510581,0
79,79,79,2,FHSS,16,2,-108.66511382911852,701014.8340008174,724907.7964306059,0
80,80,80,2,FHSS,12,2,-109.03063179262077,719762.7894979155,713822.1067414336,0
81,81,81,2,FHSS,14,0,-106.01521054613488,707397.7698733788,710247.2364258963,0
82,82,82,2,FHSS,10,1,-110.5071191947533,644044.4578908386,680848.6578528087,0
83,83,83,2,FHSS,15,2,-109.45575900842672,728852.7250731565,678570.9639142721,0
84,84,84,2,FHSS,9,2,-109.16660665134782,695736.0117952719,728467.1057269325,0
85,85,85,2,FHSS,22,3,-110.1074456739143,647872.0077933127,704194.4965524235,0
86,86,86,2,FHSS,16,2,-110.05743618144535,645595.4738521384,688003.2095409506,0
87,87,87,2,FHSS,14,2,-111.08773436632248,645376.9003295294,711711.5859966712,0
88,88,88,2,FHSS,14,6,-107.9801675410226,659202.2195051571,706102.5947801054,0
89,89,89,2,FHSS,12,2,-106.86032050167532,659142.1803263866,687353.7096946721,0
90,90,90,2,FHSS,16,2,-107.85429278924433,715013.5751323386,667013.2635836365,0
