,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,CSS,887,484,-112.7620334195305,669607.4037089125,745892.2673733829,0
1,1,CSS,881,492,-86.14811548791026,686707.7909790402,688700.4801766129,0
2,2,CSS,918,591,-105.82576424181792,662763.9196754526,685503.9119436977,0
3,3,CSS,876,636,-114.77846520174887,721529.3570925755,757730.261821053,0
4,4,CSS,935,674,-111.25843946904222,731438.2791456197,661703.681959352,0
5,5,CSS,894,614,-117.43810126171678,771021.5393475725,627332.1363759395,0
6,6,CSS,835,508,-98.94023739662195,700565.0220409927,694327.9076900744,0
7,7,CSS,901,655,-116.47964003797637,692407.8731761483,597634.6337770361,0
8,8,CSS,867,551,-102.80433303776924,671395.9184938853,683312.261984951,0
9,9,CSS,896,664,-115.81038315672444,774392.100487256,691838.2849493836,0
10,10,CSS,887,605,-108.23097186113793,659674.5611290364,669975.4784411903,0
11,11,CSS,893,568,-101.26137930556112,680934.7936932992,702891.514921534,0
12,12,CSS,813,600,-114.40099506038058,752076.2660529308,653386.7198923174,0
13,13,CSS,961,728,-116.469170685584,609229.7783449371,644885.137412143,0
14,14,CSS,878,585,-103.11951402027057,685018.5669658481,670184.1227054847,0
15,15,CSS,909,527,-85.13368065192464,688520.6336436333,691733.0873859111,0
16,16,CSS,889,641,-112.3881832421792,720025.348051467,737883.7144035148,0
17,17,CSS,876,522,-86.56471829002363,687751.0748124826,686993.6998352414,0
18,18,CSS,856,498,-91.24341182313327,685010.2658721468,686984.9156700089,0
19,19,CSS,860,590,-106.11452967324396,665478.0074545273,703638.1369855327,0
20,20,CSS,886,640,-112.19456313895097,683039.1899041062,745114.9014586608,0
21,21,CSS,872,557,-102.4497046577977,689225.9835772195,707668.5798914045,0
22,22,CSS,858,623,-114.94514800332502,766124.6803448915,695502.4675040508,0
23,23,CSS,888,567,-100.004094209349,701913.3792513036,695200.8836139942,0
24,24,CSS,923,559,-93.55982461771875,685433.9816460622,694629.2695423439,0
25,25,CSS,855,604,-113.25923703981778,718609.6085595072,745662.921505777,0
26,26,CSS,896,611,-108.87003050989341,721958.3112568838,709479.0632005697,0
27,27,CSS,885,653,-113.63066223704476,625255.4319395329,705521.6756535204,0
28,28,CSS,860,570,-106.43270698462406,696496.2805393822,661412.3569716245,0
29,29,CSS,892,581,-105.2061204998069,702958.5383061775,668307.6547625711,0
30,30,CSS,957,587,-97.32507036527014,697821.1468554375,695042.0711219548,0
31,31,CSS,892,524,-93.64411374422745,686911.4751690548,695546.3905069998,0
32,32,CSS,896,556,-93.61787372236421,692658.0754754152,683659.2389925445,0
33,33,CSS,876,615,-113.22304105777539,654306.9972387395,741862.9538894542,0
34,34,CSS,946,687,-117.86636961581087,653804.0704017321,791076.4995271651,0
35,35,CSS,919,594,-107.40153023112988,658830.4162442166,679046.7373823321,0
36,36,CSS,868,588,-108.19948687574737,683753.0159006206,724351.9004676571,0
37,37,CSS,934,669,-116.01397522298964,612679.6102917739,730482.4666993102,0
38,38,CSS,849,615,-116.58705248921538,609843.9599512264,641326.577134322,0
39,39,CSS,914,665,-115.53015236660781,664809.1657567644,767965.3571399669,0
40,40,CSS,869,578,-103.55950792881379,709876.4415442484,686004.4719188436,0
41,41,CSS,945,664,-111.7911139701696,737116.3689707353,665144.7627598038,0
42,42,CSS,884,514,-88.9694197543613,687325.9981083468,692668.5705416894,0
43,43,CSS,913,580,-100.93838254471173,703351.7765291503,695818.0742857802,0
44,44,CSS,893,645,-117.5584694996819,760377.802550903,613429.0279874172,0
45,45,CSS,920,581,-101.05717765388597,691926.4528290327,704760.1413707589,0
46,46,CSS,921,681,-117.74532486804091,792058.4290524513,662056.2245346028,0
47,47,CSS,828,580,-113.80883020218923,755994.2065825452,678212.6322494564,0
48,48,CSS,893,659,-114.30923340248145,736879.9123890542,742910.0924791234,0
49,49,CSS,913,617,-110.51396353014508,675881.4874700995,645232.3755537168,0
50,50,FHSS,37,6,-108.53937986850885,657521.7443682959,707794.367861351,0
51,51,FHSS,23,4,-107.31196632942473,657927.9990426649,683921.9466991131,0
52,52,FHSS,37,7,-115.271393052664,688508.0003369506,769306.4763797786,0
53,53,FHSS,34,3,-107.80907413933912,714975.4719487266,667238.438044103,0
54,54,FHSS,24,4,-106.37836736446613,713019.246146418,705732.8944672443,0
55,55,FHSS,28,7,-113.31492290924288,712087.046445052,749030.3795688594,0
56,56,FHSS,33,7,-84.18549294133226,690357.8299058176,687392.2703113195,0
57,57,FHSS,32,6,-99.45817770497351,702227.7053512031,687638.7477259985,0
58,58,FHSS,35,3,-116.30883358223161,779420.8965708932,691627.957949305,0
59,59,FHSS,32,4,-110.45988746216938,673675.6934794883,732547.7837168387,0
60,60,FHSS,52,5,-77.34725274795973,688397.713091973,689357.2353810066,0
61,61,FHSS,33,6,-106.04260268128738,692984.0401253307,662030.3503876394,0
62,62,FHSS,27,5,-103.04948510196827,678519.7692778818,673159.0560380461,0
63,63,FHSS,35,4,-109.22225607419232,721093.8159230914,713530.9474672456,0
64,64,FHSS,34,4,-109.7905101970791,658824.8347302375,718935.7144409742,0
65,65,FHSS,34,4,-115.29104672407217,638221.0001618138,627826.5643122778,0
66,66,FHSS,41,9,-106.9774262281063,687473.9772210281,658721.6109587132,0
67,67,FHSS,24,6,-112.8619420273584,669406.0247792172,632266.5980475012,0
68,68,FHSS,38,1,-110.75718634686825,704716.3247361665,734394.489903772,0
69,69,FHSS,37,6,-94.91002237099072,681747.0584227077,689322.1126158462,0
70,70,FHSS,32,2,-105.86808139512266,684224.2875413963,662849.1412709953,0
71,71,FHSS,23,2,-90.5492578743002,684813.3226355459,690030.311478718,0
72,72,FHSS,30,4,-116.28734554376067,627832.16417269,754792.4353206874,0
73,73,FHSS,32,4,-113.869196773185,656925.0153304425,629684.9922619354,0
74,74,FHSS,36,4,-113.37870957997157,653785.7771830983,635934.6843276643,0
75,75,FHSS,38,7,-95.37398159762604,687527.3104366091,681548.5107580326,0
76,76,FHSS,26,2,-96.10085786342192,697889.2281491605,687088.0815066028,0
77,77,FHSS,36,10,-116.83206861582605,697249.5793255388,784716.8942513315,0
78,78,FHSS,31,7,-107.1744359699438,716822.0052844215,704841.8211664071,0
79,79,FHSS,40,7,-97.05760728291673,680951.2717197888,684435.6544952596,0
80,80,FHSS,33,8,-107.53714348713552,660481.3051380529,673960.0305714782,0
81,81,FHSS,31,3,-109.56394940435752,649118.8590735153,698997.6685870495,0
82,82,FHSS,24,2,-104.97161299857825,691854.232501248,713698.0316458315,0
83,83,FHSS,33,3,-117.01487143232907,678545.481482368,592355.7110142653,0
84,84,FHSS,26,4,-115.12492560044791,753297.2204492398,735137.7678028061,0
85,85,FHSS,27,4,-117.36806709548827,597208.1347930299,646463.2711110124,0
86,86,FHSS,30,4,-114.71092516816321,633905.002273427,739712.5860920451,0
87,87,FHSS,46,3,-109.20768173940971,664871.521723153,658136.814998336,0
88,88,FHSS,38,1,-115.38947685476654,641068.4102989831,624425.9215671384,0
89,89,FHSS,36,5,-117.92723854174909,599149.5292571865,629241.4708930986,0
90,90,FHSS,38,5,-100.16880808396664,694042.2345772206,676154.9861534532,0
91,91,FHSS,31,2,-106.86532370017255,677943.032899911,661304.4065386179,0
92,92,FHSS,34,4,-111.6114248230188,735358.2951522513,714657.6276672874,0
93,93,FHSS,36,5,-117.48408616342189,748480.5462429684,604931.5769966942,0
94,94,FHSS,40,2,-81.68255745594055,687741.9112863034,689321.1231568111,0
95,95,FHSS,25,0,-110.80159794606192,641670.3864723173,690755.5701623766,0
96,96,FHSS,34,5,-106.10659209800232,693791.812003702,716880.8473126389,0
97,97,FHSS,26,5,-114.85075421568018,740893.211147341,633336.5063181381,0
98,98,FHSS,41,5,-117.78968945758126,792144.2799516658,660315.9814835994,0
99,99,FHSS,32,6,-99.94995204649473,676562.1733187417,684679.4038269349,0
