,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,449,170,-117.2596375160758,720050.9433387545,785076.8963800672,0
1,1,1,CSS,485,252,-105.59450438156742,667228.5267452332,703398.7383646467,0
2,2,1,CSS,554,360,-123.59199313552335,645546.7110490703,485835.52896652126,0
3,3,1,CSS,495,297,-121.2865151759388,685407.6958789122,529760.7735502303,0
4,4,1,CSS,513,289,-113.16240631991215,702128.5795725769,750783.0769168314,0
5,5,1,CSS,500,215,-83.43243158629197,691341.4393460033,688737.4512530765,0
6,6,1,CSS,510,318,-117.43722586499172,590430.7317464635,716147.732357037,0
7,7,1,CSS,494,307,-118.88510549395608,638764.1158718148,579382.4690212592,0
8,8,1,CSS,480,209,-98.66511150988829,681714.5006404696,698368.1745079356,0
9,9,1,CSS,520,324,-119.28020698314936,757821.5065280087,582693.0479302035,0
10,10,1,CSS,554,320,-113.96637354931721,655307.1989510651,749110.7877535148,0
11,11,1,CSS,512,257,-109.10636614656426,728229.9499174787,683335.5650513008,0
12,12,1,CSS,539,342,-119.84167099489844,822031.3945164433,715834.6090732216,0
13,13,1,CSS,493,297,-118.5511930032138,592856.3782057886,754701.4060260721,0
14,14,1,CSS,488,276,-115.06209127405995,761498.9267181213,719194.5064540575,0
15,15,1,CSS,501,318,-116.69332012893798,601859.9173129256,723935.3191101431,0
16,16,1,CSS,528,326,-117.17509129158219,771782.7667449163,633633.5876212716,0
17,17,1,CSS,476,308,-122.56803916828457,786385.831578222,531759.2438899993,0
18,18,1,CSS,489,308,-119.87392403972402,804085.9972064834,616800.180070344,0
19,19,1,CSS,524,299,-114.87144998906484,663262.8266529366,761095.8665482603,0
20,20,1,CSS,514,334,-121.58951908750845,736755.8075565067,847858.6048433764,0
21,21,1,CSS,502,263,-109.74348597731559,679090.7174519495,648407.9332158101,0
22,22,1,CSS,512,327,-120.42356640732046,559775.3644169064,625357.6768441029,0
23,23,1,CSS,515,302,-119.07321779286536,771390.2688170152,596673.5710497886,0
24,24,1,CSS,474,310,-122.82305482333442,875309.2254692701,647317.0240270213,0
25,25,1,CSS,509,328,-123.93266854559593,600654.0103465698,491855.71831668715,0
26,26,1,CSS,526,344,-121.12467473251624,537029.173609889,652654.0594767737,0
27,27,1,CSS,523,339,-123.06491554676876,546548.9377189837,823579.2554317688,0
28,28,1,CSS,500,333,-122.29899550461303,868837.3574472198,691959.6786675942,0
29,29,1,CSS,487,219,-97.89589283557096,697299.5993446915,682021.9013989102,0
30,30,1,CSS,474,302,-123.04597212760984,707304.8691223211,494671.88997894165,0
31,31,1,CSS,471,269,-114.75511126247847,628780.6192625524,734048.4611713147,0
32,32,1,CSS,526,249,-105.45312567764871,696420.5574033046,664580.4187106433,0
33,33,1,CSS,560,355,-122.30061111649266,510317.2229167761,701146.1410189522,0
34,34,1,CSS,515,307,-117.2521002518908,789685.8033125455,693681.379572675,0
35,35,1,CSS,487,219,-94.25400127743622,682658.5199015491,691627.3193182017,0
36,36,1,CSS,497,288,-110.81356066112838,645200.2367911717,671171.6439722184,0
37,37,1,CSS,478,276,-115.41145657298736,650232.7665877348,618288.4495007558,0
38,38,1,CSS,492,260,-111.76664821851497,683988.7982818104,636315.2400170072,0
39,39,1,CSS,488,268,-112.38623263941956,641765.2924092698,657547.965523261,0
40,40,1,CSS,496,247,-107.95855668453552,655313.9581346423,694171.1265202911,0
41,41,1,CSS,492,256,-111.0158303668494,738021.3667610132,695185.5543551741,0
42,42,1,CSS,460,232,-107.54255959958272,720712.627229218,679551.4801154601,0
43,43,1,CSS,487,315,-120.70160793942748,782465.0903221336,572656.9209596363,0
44,44,1,CSS,507,291,-115.66106356436057,677839.0047257828,606649.3619993578,0
45,45,1,CSS,535,238,-103.66734417433993,676806.7960494185,672606.4037323201,0
46,46,1,CSS,499,255,-110.97197656431877,690030.0638181265,640709.3113840694,0
47,47,1,CSS,519,286,-113.2140278847221,719256.5211660957,633872.8624438228,0
48,48,1,CSS,508,291,-115.04962050454577,611731.5345844957,695083.9816152786,0
49,49,1,CSS,491,319,-120.20343937839368,629233.4660979679,816900.3844474357,0
50,50,2,CSS,30,9,-118.63372154541776,742870.2222330569,794236.4674692979,0
51,51,2,CSS,41,22,-117.61827290077082,619206.2133764551,767068.6765128027,0
52,52,2,CSS,40,18,-118.84202889878435,809907.616897171,692084.4438223888,0
53,53,2,CSS,35,21,-118.65966871786398,658925.7146662775,575393.9513546887,0
54,54,2,CSS,26,10,-88.56701567797984,692700.4198124949,687733.2228129101,0
55,55,2,CSS,42,14,-122.84587780692559,676431.6200067075,880075.6597475079,0
56,56,2,CSS,28,16,-119.98678956223822,792538.0183937476,780364.5762604547,0
57,57,2,CSS,41,14,-116.73150898857702,594884.8318692341,689022.3259018573,0
58,58,2,CSS,29,16,-119.49222887009665,759231.2420285109,579876.5798427999,0
59,59,2,CSS,43,21,-123.00586940007565,541695.7689417971,816187.2087797195,0
