,type,annulus_width,devices_set_1,devices_set_2,dr_set_1,dr_set_2,mod_set_1,mod_set_2,cr_set_1,cr_set_2,tx_pkts_mean_set_1,tx_pkts_std_set_1,tx_pkts_mean_set_2,tx_pkts_std_set_2,rx_pkts_mean_set_1,rx_pkts_std_set_1,rx_pkts_mean_set_2,rx_pkts_std_set_2,payload_size
41,DISTANCE,0,50,10,1,0,CSS,CSS,0.8,0.8,3152.3333333333335,57.796962626844746,364.9,21.565945376913113,1226.9,26.31520473034553,187.43333333333334,12.505154492803713,10
42,DISTANCE,0,50,50,1,0,CSS,CSS,0.8,0.8,3146.0666666666666,66.28269423880984,1836.1666666666667,45.11473028722314,820.5,31.03304690164986,485.3333333333333,18.31999514798577,10
43,DISTANCE,0,50,100,1,0,CSS,CSS,0.8,0.8,3162.1,52.26812285386444,3683.9333333333334,73.95040380026484,499.46666666666664,18.73451953539834,419.76666666666665,18.93969963389658,10
44,DISTANCE,0,50,300,1,0,CSS,CSS,0.8,0.8,3143.8,44.72911058062001,10981.9,116.5805444031436,68.0,7.52772652709081,46.4,7.812809993849844,10
45,DISTANCE,0,50,1,1,1,CSS,CSS,0.8,0.8,3139.7,46.35453951160915,62.53333333333333,9.069117315863155,1330.7,26.554535080346135,27.833333333333332,6.088696266215143,10
46,DISTANCE,0,50,10,1,1,CSS,CSS,0.8,0.8,3152.0,62.126752155036506,628.3333333333334,23.077165240894637,1144.8,26.23661563540542,223.6,12.906329196690022,10
47,DISTANCE,0,50,50,1,1,CSS,CSS,0.8,0.8,3136.5333333333333,40.344957002772425,3167.866666666667,67.69920399991585,577.7333333333333,21.791333649463088,579.1666666666666,24.21305891914985,10
48,DISTANCE,0,50,100,1,1,CSS,CSS,0.8,0.8,3140.7,68.75422411265603,6306.133333333333,82.85518826375463,246.0,12.290918056299402,486.6,23.932683370933006,10
49,DISTANCE,0,50,300,1,1,CSS,CSS,0.8,0.8,3150.0666666666666,56.62504353689766,18871.766666666666,120.13344894556036,8.833333333333334,2.3955978145107935,52.733333333333334,7.127100080366176,10
50,DISTANCE,0,50,1,1,2,CSS,CSS,0.8,0.8,3144.9666666666667,50.692197514892655,126.13333333333334,9.23664200646293,1342.1333333333334,29.22981734842389,74.8,8.005831208146555,10
51,DISTANCE,0,50,10,1,2,CSS,CSS,0.8,0.8,3130.5666666666666,49.87095569790319,1264.1,31.84477979198474,1229.7333333333333,26.83894351290469,659.9333333333333,21.300912865154135,10
52,DISTANCE,0,50,50,1,2,CSS,CSS,0.8,0.8,3155.3333333333335,58.636924278895194,6279.066666666667,74.99819257081393,816.7666666666667,23.411796646610064,1695.6666666666667,37.48362605488191,10
53,DISTANCE,0,50,100,1,2,CSS,CSS,0.8,0.8,3146.5666666666666,43.70025425809583,12623.6,105.27063534845159,480.03333333333336,19.300230280721756,1505.6333333333334,40.15593217556889,10
54,DISTANCE,0,50,300,1,2,CSS,CSS,0.8,0.8,3161.6666666666665,47.48356440800215,37795.76666666667,169.0535779633848,66.46666666666667,7.944529914070156,210.93333333333334,13.853840221717906,10
55,DISTANCE,0,50,1,1,3,CSS,CSS,0.8,0.8,3144.7,57.7374228728647,248.13333333333333,14.412340391329769,1355.5,34.0222966107032,149.8,12.21583671578278,10
56,DISTANCE,0,50,10,1,3,CSS,CSS,0.8,0.8,3131.366666666667,69.78800438152359,2523.4333333333334,58.17999847217446,1226.3333333333333,26.08490410605763,1311.0,35.2514775104061,10
57,DISTANCE,0,50,50,1,3,CSS,CSS,0.8,0.8,3144.0333333333333,44.86905639995366,12599.966666666667,93.11945136340861,804.6,22.166942354175355,3338.9666666666667,47.63505945088018,10
58,DISTANCE,0,50,100,1,3,CSS,CSS,0.8,0.8,3144.6,62.75699164236604,25302.333333333332,144.64838594175723,483.1,20.95606515228149,2910.5666666666666,45.24060368985169,10
59,DISTANCE,0,50,300,1,3,CSS,CSS,0.8,0.8,3139.1666666666665,55.51521313017621,75789.43333333333,303.1566903251335,64.0,7.478859093025709,355.4,19.50487118644981,10
60,DISTANCE,0,50,1,1,4,CSS,CSS,0.8,0.8,3144.0333333333333,49.88351987937053,510.96666666666664,28.9130689404559,1348.6666666666667,28.9394002855776,304.46666666666664,19.72094205547888,10
61,DISTANCE,0,50,10,1,4,CSS,CSS,0.8,0.8,3156.0666666666666,52.71934074785921,5049.633333333333,61.823125842106116,1230.6333333333334,26.483307111377826,2606.233333333333,62.377177094047966,10
62,DISTANCE,0,50,50,1,4,CSS,CSS,0.8,0.8,3150.3333333333335,47.833972121170206,25253.466666666667,171.6866784452293,805.4666666666667,24.200183654032234,6633.166666666667,73.01510498215801,10
63,DISTANCE,0,50,100,1,4,CSS,CSS,0.8,0.8,3146.5666666666666,48.08026853317505,50490.86666666667,221.71584416896226,486.03333333333336,20.12209951493355,5803.333333333333,91.07481661920721,10
64,DISTANCE,0,50,300,1,4,CSS,CSS,0.8,0.8,3144.866666666667,46.14450731729136,151477.86666666667,317.61787663095345,67.83333333333333,8.091490729292238,661.9,31.84582651881823,10
65,DISTANCE,0,50,1,1,5,CSS,CSS,0.8,0.8,3161.733333333333,49.25439630688367,896.2333333333333,25.53126623486496,1342.9666666666667,27.620624339230435,534.0,22.79034883453959,10
66,DISTANCE,0,50,10,1,5,CSS,CSS,0.8,0.8,3131.2,43.72520249619587,8882.766666666666,110.01959926405033,1219.6,31.024291557852962,4588.3,72.47121267556287,10
67,DISTANCE,0,50,50,1,5,CSS,CSS,0.8,0.8,3140.4666666666667,61.22294413770779,44356.2,203.27016505134247,808.9333333333333,27.076352946600636,11541.566666666668,160.25140318331762,10
68,DISTANCE,0,50,100,1,5,CSS,CSS,0.8,0.8,3143.733333333333,41.0982021774946,88617.7,304.4263621961803,481.73333333333335,17.526995052077684,9822.9,129.89081312138026,10
69,DISTANCE,0,50,300,1,5,CSS,CSS,0.8,0.8,3152.9666666666667,62.15007821573697,266062.76666666666,447.0176494154217,67.7,7.497332859090625,1026.8666666666666,42.87791454298536,10
70,DISTANCE,0,50,1,1,8,CSS,FHSS,0.8,0.3333333333333333,3132.3333333333335,61.76262803850094,15.533333333333333,4.039251855920296,1332.2333333333333,26.98726036896339,13.2,3.53459097114975,10
71,DISTANCE,0,50,10,1,8,CSS,FHSS,0.8,0.3333333333333333,3147.6,56.603651236765046,145.2,12.549634788842795,1264.6666666666667,27.86435397101864,121.56666666666666,11.432944599805522,10
72,DISTANCE,0,50,50,1,8,CSS,FHSS,0.8,0.3333333333333333,3152.0,49.21381919745713,717.6,24.833579417125247,1038.6666666666667,27.081769185602003,599.3,23.68283485283522,10
73,DISTANCE,0,50,100,1,8,CSS,FHSS,0.8,0.3333333333333333,3162.0666666666666,44.03327024976556,1439.3666666666666,33.571300573886354,781.0333333333333,23.486852113942863,1195.2333333333333,31.88801586106535,10
74,DISTANCE,0,50,300,1,8,CSS,FHSS,0.8,0.3333333333333333,3156.5,62.18507323573185,4285.7,65.06107387165795,278.1666666666667,19.75868304203384,3548.5333333333333,58.679203205981665,10
75,DISTANCE,0,50,1,1,9,CSS,FHSS,0.8,0.6666666666666666,3146.866666666667,42.88413329996175,32.53333333333333,5.414384134465854,1329.1666666666667,34.541842580975455,22.5,4.5,10
76,DISTANCE,0,50,10,1,9,CSS,FHSS,0.8,0.6666666666666666,3149.5,48.38370937963865,338.3666666666667,19.035901753149375,1244.8666666666666,31.335531837764545,244.4,15.14727698300919,10
77,DISTANCE,0,50,50,1,9,CSS,FHSS,0.8,0.6666666666666666,3151.733333333333,50.538390248294306,1688.6,53.781409427422034,922.1333333333333,30.505445779765655,1218.8,44.95508869972341,10
78,DISTANCE,0,50,100,1,9,CSS,FHSS,0.8,0.6666666666666666,3147.9666666666667,51.06302206315469,3385.733333333333,57.3218593169792,649.2333333333333,20.441270888952957,2439.233333333333,49.43998606616128,10
79,DISTANCE,0,50,300,1,9,CSS,FHSS,0.8,0.6666666666666666,3154.0,52.40292612695084,10137.766666666666,78.42307625239454,149.4,11.470541980801663,7276.466666666666,79.31108931851136,10
80,DISTANCE,0,50,1,2,0,CSS,CSS,0.8,0.8,6285.1,79.46166790765636,36.7,5.956229232212833,2692.4333333333334,39.43829216496182,22.433333333333334,5.017857001638139,10
81,DISTANCE,0,50,10,2,0,CSS,CSS,0.8,0.8,6276.1,73.00746537170018,371.46666666666664,20.208469071709075,2461.9,50.190536956681385,191.26666666666668,11.561237919108066,10
82,DISTANCE,0,50,50,2,0,CSS,CSS,0.8,0.8,6299.966666666666,72.50585416977644,1824.9666666666667,39.41867859558742,1660.0333333333333,45.50932749326108,478.2,17.907912590062903,10
83,DISTANCE,0,50,100,2,0,CSS,CSS,0.8,0.8,6296.766666666666,80.69022383301599,3674.0,58.947434210489604,997.3,28.80410850324423,408.8333333333333,19.176519206803118,10
84,DISTANCE,0,50,300,2,0,CSS,CSS,0.8,0.8,6317.1,74.91076914124787,10997.466666666667,143.73557512166414,135.1,12.57073320587679,40.666666666666664,5.539755309477927,10
85,DISTANCE,0,50,1,2,1,CSS,CSS,0.8,0.8,6307.0,88.52494940222596,63.2,8.65024084443125,2701.266666666667,32.80135498556255,37.3,6.377826170935255,10
86,DISTANCE,0,50,10,2,1,CSS,CSS,0.8,0.8,6318.133333333333,81.5273914433398,628.2666666666667,28.042745150137414,2475.6,42.838923111270354,330.93333333333334,14.798498422325002,10
87,DISTANCE,0,50,50,2,1,CSS,CSS,0.8,0.8,6293.266666666666,85.71150577502546,3143.9333333333334,45.878777470876685,1664.9666666666667,35.291626328194184,828.9,24.806383587025874,10
88,DISTANCE,0,50,100,2,1,CSS,CSS,0.8,0.8,6265.1,77.06678921558883,6297.333333333333,72.63393758353521,996.6333333333333,32.00466979815429,719.0,16.637307474468336,10
89,DISTANCE,0,50,300,2,1,CSS,CSS,0.8,0.8,6292.366666666667,102.41695280676058,18892.4,143.2093106842801,138.2,11.622965771838672,73.1,9.3607335894861,10
90,DISTANCE,0,50,1,2,2,CSS,CSS,0.8,0.8,6267.1,85.30273539967325,128.86666666666667,12.170273437994544,2678.133333333333,36.59119505503415,55.4,8.742997197757758,10
91,DISTANCE,0,50,10,2,2,CSS,CSS,0.8,0.8,6279.866666666667,68.68562844988429,1263.3666666666666,32.39185425723915,2293.8333333333335,35.839534347173405,474.06666666666666,30.657172443365067,10
92,DISTANCE,0,50,50,2,2,CSS,CSS,0.8,0.8,6289.3,56.853701140148594,6303.866666666667,74.7238174137864,1175.0,31.034389527318453,1150.1333333333334,33.895656883376006,10
93,DISTANCE,0,50,100,2,2,CSS,CSS,0.8,0.8,6295.866666666667,82.13839270131571,12568.166666666666,79.43302559738962,501.1666666666667,23.856631968676737,996.0666666666667,37.0692445146767,10
94,DISTANCE,0,50,300,2,2,CSS,CSS,0.8,0.8,6309.733333333334,65.40027183089957,37762.833333333336,176.3901137315304,18.766666666666666,4.2558456530074285,110.26666666666667,10.844148447690834,10
95,DISTANCE,0,50,1,2,3,CSS,CSS,0.8,0.8,6281.933333333333,67.85766148506904,254.0,16.907591983090516,2690.2,39.921923801340036,155.2,13.174217244299562,10
96,DISTANCE,0,50,10,2,3,CSS,CSS,0.8,0.8,6296.566666666667,64.96290394439652,2531.733333333333,37.467259781782225,2453.1666666666665,44.71098547585618,1318.7333333333333,30.063192703962027,10
97,DISTANCE,0,50,50,2,3,CSS,CSS,0.8,0.8,6282.7,79.90792618174162,12593.233333333334,85.77866220039158,1631.2666666666667,37.55700851890215,3428.3,45.1546601507899,10
98,DISTANCE,0,50,100,2,3,CSS,CSS,0.8,0.8,6320.233333333334,87.84254221174513,25233.466666666667,135.31832429086936,973.7,23.74327975098077,3050.9,67.88684212226501,10
