,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,60,39,-105.4559923586351,667067.1784715104,702329.3921185748,0
1,1,1,CSS,58,44,-94.92755353544186,692949.6425973529,682594.8778774674,0
2,2,1,CSS,64,60,-111.14973127027223,681080.8806116432,640401.2477540433,0
3,3,1,CSS,62,57,-110.58254793940745,690471.7721772782,642852.9289148645,0
4,4,1,CSS,68,52,-96.60968343910172,695840.2240676587,696159.8439462328,0
5,5,1,CSS,70,58,-110.8829312629442,642209.2987886781,699213.7205533851,0
6,6,1,CSS,63,53,-111.9304285240886,722531.4387584614,732551.1457432451,0
7,7,1,CSS,55,43,-107.96755479231469,688307.206258853,723856.7108744006,0
8,8,1,CSS,65,52,-110.52955634552197,655313.5976718379,720713.4636823,0
9,9,1,CSS,62,52,-107.86777114819802,714764.9241141819,712168.9828806799,0
10,10,1,CSS,66,57,-98.04394649063843,679162.7667746455,693392.6986051197,0
11,11,1,CSS,67,62,-100.99028721561531,687460.2044419703,674100.2045135475,0
12,12,1,CSS,61,52,-99.4115703691338,678483.1974388206,696208.4233411629,0
13,13,1,CSS,68,58,-110.4447158788434,734147.1143626228,679425.5350562895,0
14,14,1,CSS,63,57,-106.3313920395498,705609.1055514822,665905.4089113638,0
15,15,1,CSS,60,51,-111.60511216526464,691909.8189637486,637082.1378314765,0
16,16,1,CSS,54,46,-100.25954250919527,675286.5378534821,688057.3039844092,0
17,17,1,CSS,59,51,-107.80418159290966,702628.862329083,720542.3906807353,0
18,18,1,CSS,63,58,-105.50384214830599,707171.4025166496,708333.9810826562,0
19,19,1,CSS,52,40,-109.6146223009875,663066.6110057407,721682.7496053482,0
20,20,1,CSS,59,48,-105.01717065243716,671021.7035026216,673164.5777826782,0
21,21,1,CSS,54,42,-103.73210658446375,699400.2879642159,670753.4556005832,0
22,22,1,CSS,61,50,-105.90053711506948,716330.028292502,693057.1455346333,0
23,23,1,CSS,68,53,-106.13713502083448,695505.3172185615,662169.407777466,0
24,24,1,CSS,61,50,-109.86022642612362,694750.1532287645,731931.1212508666,0
25,25,1,CSS,62,51,-106.00528963313812,662420.399442992,684171.6023544067,0
26,26,1,CSS,58,49,-105.30060407233417,709487.6060088389,673930.4114411868,0
27,27,1,CSS,67,58,-110.40835869893203,712600.2176854846,728727.3346014614,0
28,28,1,CSS,70,59,-109.2370303741754,683258.0030298738,650001.4012058103,0
29,29,1,CSS,69,58,-89.62938409358458,685254.1684762024,689778.108265737,0
30,30,1,CSS,58,49,-106.94000837433933,662826.0476559261,704600.4358452079,0
31,31,1,CSS,55,44,-110.57665874864918,734016.7878150421,702683.6773476374,0
32,32,1,CSS,66,55,-104.42067738027482,671343.3257493756,703496.4815946631,0
33,33,1,CSS,57,47,-104.42779780586147,693102.8819217011,666781.9731455949,0
34,34,1,CSS,55,47,-105.52083779337028,692544.1264716707,715224.475280679,0
35,35,1,CSS,57,47,-107.70724721556896,707920.5131816443,661553.7773482152,0
36,36,1,CSS,47,39,-110.0456508245081,701040.0105026254,731616.9271963142,0
37,37,1,CSS,63,51,-97.46406059525832,695373.9936152981,697790.3619598727,0
38,38,1,CSS,65,56,-110.34784718213994,644370.6224333515,694514.8682542952,0
39,39,1,CSS,53,45,-103.07737103363819,669899.1849112277,687289.8774660779,0
40,40,1,CSS,49,36,-95.77767349696666,696163.3764821504,694523.7177447353,0
41,41,1,CSS,55,41,-106.89233274325083,718283.0587021863,679733.8215573152,0
42,42,1,CSS,74,64,-105.79132896482754,716188.2985712668,691017.2621334359,0
43,43,1,CSS,59,50,-95.95440857206498,685487.1455295227,681709.2296771996,0
44,44,1,CSS,59,48,-102.88917816507228,685866.5753555024,708287.2105991206,0
45,45,1,CSS,71,59,-100.70317845446831,684778.1148176753,675215.1279017586,0
46,46,1,CSS,68,50,-83.17821022741843,691380.4868382976,689663.4107715555,0
47,47,1,CSS,60,50,-104.56221156841754,670362.6725094109,702804.6151928204,0
48,48,1,CSS,60,47,-104.58003777198068,672744.5115920515,673080.4735810327,0
49,49,1,CSS,65,60,-103.10845505680865,705527.8192493868,678087.3431672003,0
50,50,2,CSS,922,826,-107.084004452068,685373.7153845218,720278.1893284516,0
51,51,2,CSS,923,836,-111.08713359301333,698981.8901728118,640992.2109754886,0
52,52,2,CSS,910,814,-110.73786551695628,687745.8311896219,642029.8589319021,0
53,53,2,CSS,840,735,-108.10201349028674,722867.8072685779,699692.7727505992,0
54,54,2,CSS,926,840,-108.78899256411455,678779.7502965409,653051.6456366557,0
55,55,2,CSS,832,733,-105.95470335059052,666151.4423327167,703770.0630337333,0
56,56,2,CSS,866,651,-83.26468725606114,690933.9237287429,688106.1686466481,0
57,57,2,CSS,851,759,-104.42459649782458,693052.746655974,666782.408305551,0
58,58,2,CSS,905,730,-90.87757219490481,685540.8326058624,692280.5091318547,0
59,59,2,CSS,870,760,-102.01777708856721,674878.4942519828,698930.4273191494,0
60,60,2,CSS,838,713,-100.71838550906821,688808.8160278458,674464.2293889046,0
61,61,2,CSS,941,789,-100.39589169495858,702888.5031153718,684301.1012536453,0
62,62,2,CSS,919,805,-104.76613497082695,687996.1909112282,665614.0759916347,0
63,63,2,CSS,925,832,-105.88487713694609,681930.5659312286,663347.3182795015,0
64,64,2,CSS,920,794,-101.46282567916728,675503.071292065,697906.8061051427,0
65,65,2,CSS,920,840,-109.83779241232325,654242.8644885995,713705.1860525594,0
66,66,2,CSS,936,727,-86.77088028406631,692075.7053272737,690795.2201431053,0
67,67,2,CSS,922,779,-94.44886675975125,689486.127855303,696678.7572067451,0
68,68,2,CSS,947,811,-102.57328815129864,688410.4418069044,670917.8897240865,0
69,69,2,CSS,866,803,-110.85615275212746,731124.6737220521,713281.0047135645,0
70,70,2,CSS,923,809,-104.64330723036078,712641.9834167426,685837.5926151297,0
71,71,2,CSS,940,826,-106.54939262407679,662706.3799148662,677423.3637445075,0
72,72,2,CSS,900,816,-110.15005288053061,688013.5178117525,645124.965120165,0
73,73,2,CSS,890,759,-100.42653727984042,691132.3412565425,703772.8356082992,0
74,74,2,CSS,864,782,-111.02485081986939,649225.5718658194,717454.30582954,0
75,75,2,CSS,893,724,-94.21204834899625,696473.7236362563,689785.74508194,0
76,76,2,CSS,831,715,-103.61903166417609,669805.8882570217,696623.3828426482,0
77,77,2,CSS,858,782,-111.32356741286495,679690.8471059526,639633.565348488,0
78,78,2,CSS,896,815,-111.76300249876425,741649.4627208263,678579.8980644833,0
79,79,2,CSS,868,781,-110.47584463210785,649472.0494116541,666585.0667354508,0
80,80,2,CSS,920,754,-99.16806477840214,685366.4797494465,701252.9989380757,0
81,81,2,CSS,856,740,-99.63239351506158,677306.5170058811,684143.89730826,0
82,82,2,CSS,909,789,-103.80921728105294,694675.505617086,710103.9528448737,0
83,83,2,CSS,893,795,-108.20139944425767,656187.740307459,677178.0038035075,0
84,84,2,CSS,910,824,-109.27579029252713,692913.4346934886,729323.0469797322,0
85,85,2,CSS,907,733,-96.34278661434274,696606.3859037823,683940.2003423866,0
86,86,2,CSS,867,735,-106.22035020312344,669418.0257282797,709275.5692617436,0
87,87,2,CSS,896,751,-97.30593317484362,679982.305800703,685793.1482893878,0
88,88,2,CSS,863,749,-102.74211290152633,688448.9057778403,670551.875547524,0
89,89,2,CSS,884,781,-108.20259886121265,659083.4767351281,707687.1792649813,0
90,90,2,CSS,913,815,-110.03393006485783,730941.1824377496,703073.0875646401,0
91,91,2,CSS,887,766,-105.99687100457177,710001.7508957571,707590.681942856,0
92,92,2,CSS,873,692,-93.684527989442,696005.6637437362,690311.772803189,0
93,93,2,CSS,902,829,-111.87793627929787,638787.113122291,670444.7200737305,0
94,94,2,CSS,900,743,-98.62640856552719,701165.7630696675,689646.0704981573,0
95,95,2,CSS,912,826,-111.55874266986481,717003.0582323837,645205.9709478461,0
96,96,2,CSS,951,719,-85.489082846114,687030.4213863873,690433.3044793771,0
97,97,2,CSS,919,761,-100.25181013134335,679878.7242628593,678917.6449756942,0
98,98,2,CSS,904,799,-102.38270176387034,707335.8939386123,692050.6633674401,0
99,99,2,CSS,894,690,-93.46362792946432,684930.3146440731,694104.3418097984,0
100,100,2,CSS,885,715,-97.74722891241649,692411.9412066793,699603.7239753738,0
101,101,2,CSS,839,749,-108.63073205469789,717021.8926518162,714337.1414277038,0
102,102,2,CSS,884,791,-109.86468583605085,726081.497722137,667193.2469714964,0
103,103,2,CSS,907,787,-102.03177143275488,691077.9670503587,672090.2451934484,0
104,104,2,CSS,858,766,-109.2801560958121,649489.6591712488,693035.8569870781,0
105,105,2,CSS,865,799,-109.53188745739665,648281.3815751703,692742.4021514662,0
106,106,2,CSS,813,738,-109.08948057695392,694908.6797938744,650583.0911849727,0
107,107,2,CSS,872,797,-111.69393545045963,712459.4301482092,737055.8761171199,0
108,108,2,CSS,894,816,-107.09491469173435,661401.6100114086,675736.4000500891,0
109,109,2,CSS,887,817,-111.68711481826662,640625.6999684165,709828.2205852956,0
110,110,2,CSS,847,743,-104.74427567945217,682655.8623529123,666611.6538425843,0
111,111,2,CSS,889,822,-111.53322252176717,671694.303649418,738253.7617578756,0
112,112,2,CSS,896,692,-83.67451668887038,691153.4469656193,690587.340206641,0
113,113,2,CSS,886,718,-98.5295342409535,678006.2397860091,687150.0441834979,0
114,114,2,CSS,879,746,-100.7159044482141,680052.5064512105,677746.5507405024,0
115,115,2,CSS,936,719,-89.14420902303227,693352.4590409193,689215.4766192308,0
116,116,2,CSS,860,717,-99.10044254164578,697055.837479253,679626.9205581933,0
117,117,2,CSS,876,771,-104.4584859399285,684481.3809242623,711886.0880600596,0
118,118,2,CSS,892,746,-102.48647043005118,692547.1692820385,671345.2286778508,0
119,119,2,CSS,904,773,-102.6917267855043,707354.3319316145,683886.887096711,0
120,120,2,CSS,845,719,-101.52837723283648,682989.8957011288,704524.5066618202,0
121,121,2,CSS,846,670,-92.53009415233782,691826.1403011271,684107.4845742204,0
122,122,2,CSS,892,786,-106.324307637054,702194.12514494,663912.8639056314,0
123,123,2,CSS,920,833,-106.96577506339469,703139.6252244209,716880.6577099677,0
124,124,2,CSS,953,871,-108.49719447698348,691805.671269983,652859.0988035903,0
125,125,2,CSS,887,787,-107.34130754440362,693019.5690622752,721273.3708411426,0
