,dev_id,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,CSS,43,18,-103.47275146796952,679905.3425586687,671201.9939444481,0
1,1,CSS,41,18,-86.48128074618683,692312.7189242921,689533.8657315641,0
2,2,CSS,33,20,-110.41941256964631,662356.4354421103,726246.7751898676,0
3,3,CSS,42,26,-111.86033061103444,653878.9437421612,648813.6198553378,0
4,4,CSS,37,21,-105.89429198380333,716003.1395823093,683958.8261819689,0
5,5,CSS,40,23,-111.1399678929871,673693.2985578213,642307.3805030112,0
6,6,CSS,47,30,-111.33751501650235,739138.1573356346,679030.3220472528,0
7,7,CSS,36,20,-110.21120255646964,694139.056527036,645041.0863002194,0
8,8,CSS,35,21,-109.81464271596204,699413.8100525915,730850.5491846626,0
9,9,CSS,37,16,-109.94566212740555,682863.6151782973,732190.4839590236,0
10,10,CSS,46,24,-92.203604483641,685718.4289041006,685184.219162866,0
11,11,CSS,38,20,-105.00661183344519,681241.3327180456,712517.4251768144,0
12,12,CSS,39,29,-109.92421081175618,646876.8187490965,696797.9863145312,0
13,13,CSS,29,18,-102.78744609187979,704999.4176294571,700243.1358094964,0
14,14,CSS,45,25,-102.59502335769756,693806.0538126037,671372.1350703958,0
15,15,CSS,31,11,-95.2347154027515,697341.9832978096,688775.6728879169,0
16,16,CSS,33,19,-102.01442387193822,682145.2671357142,673637.9405730088,0
17,17,CSS,37,20,-110.78700732328139,643600.8244503064,702630.3618820946,0
18,18,CSS,35,21,-109.87390451728277,731949.9873794814,683693.0557118583,0
19,19,CSS,28,13,-95.49613050637296,683758.4058527446,695350.6803918332,0
20,20,CSS,46,34,-111.11791843880633,687127.2438660987,738889.2200274738,0
21,21,CSS,35,19,-100.40166016912491,685452.8448643299,675541.4904873257,0
22,22,CSS,45,27,-110.90526892733132,655021.6515970364,655448.5020062134,0
23,23,CSS,51,40,-111.59714735644306,676680.2905514692,740179.6334847102,0
24,24,CSS,43,30,-111.88374886867788,742813.632214381,698046.4301397568,0
25,25,CSS,36,21,-105.46813286712688,668127.7377269741,704074.5162130554,0
26,26,CSS,29,15,-97.37476235878822,690073.931576612,679253.2985513213,0
27,27,CSS,41,24,-108.01269252684617,654772.7016498032,689978.8563851146,0
28,28,CSS,26,15,-107.40325213629117,717009.5974875852,672638.3761538195,0
29,29,CSS,45,28,-102.79941819390655,675853.8543696576,702735.1295359657,0
30,30,CSS,34,18,-97.65151554930945,693617.8481078084,699041.0983527957,0
31,31,CSS,43,28,-109.7646427992461,677082.7441632793,648858.5128574518,0
32,32,CSS,38,23,-110.67982446964226,736492.0389692816,688279.161332656,0
33,33,CSS,32,14,-97.83250732817962,689062.0910599361,678686.5279370733,0
34,34,CSS,34,16,-105.89676565651003,664860.416890455,677811.138627851,0
35,35,CSS,37,21,-105.86841361243341,711007.0076475008,705723.6579469917,0
36,36,CSS,27,13,-104.87953553904103,665685.9511531447,684888.6359212272,0
37,37,CSS,32,20,-107.27296528386822,716773.2078953427,673178.6862692964,0
38,38,CSS,34,19,-108.73739896158894,653269.0189959978,678835.7328761283,0
39,39,CSS,33,18,-109.4839853963223,648637.3474539529,684766.0903179754,0
40,40,CSS,39,26,-109.91208239860104,647146.1816873406,697908.7507737677,0
41,41,CSS,26,16,-106.46654322342907,717744.3443577543,695564.9360637928,0
42,42,CSS,32,23,-102.87532701297168,690857.8469894669,708531.8345259468,0
43,43,CSS,30,16,-108.51937209534935,664388.1600684593,716290.4127789031,0
44,44,CSS,32,15,-97.88488486481164,698991.3468702777,684436.0645097014,0
45,45,CSS,28,17,-110.63369570435725,734609.8189238508,701721.123995948,0
46,46,CSS,40,14,-95.65664711920087,681308.0090225541,687385.02975497,0
47,47,CSS,42,28,-104.47134819008362,711119.5151391906,697140.2565462668,0
48,48,CSS,33,25,-111.3078993843214,653577.3093667054,725173.5183910807,0
49,49,CSS,40,17,-99.6932227717622,690690.1652257338,702642.8768899764,0
50,50,FHSS,12,7,-111.20727575586986,714446.018530657,646080.2019043481,0
51,51,FHSS,13,2,-89.45700637651139,692269.2364939805,686484.0816519578,0
52,52,FHSS,15,7,-109.00112364739914,715534.3280010371,660698.0801168992,0
53,53,FHSS,14,5,-91.87717183317974,692468.1756898938,693868.9715157617,0
54,54,FHSS,17,7,-102.69380193243012,678425.665216779,674180.44302683,0
55,55,FHSS,18,10,-98.37142512364883,698327.7642054021,696541.1418602663,0
56,56,FHSS,15,9,-110.27181540511229,646192.2052482169,677116.1795339464,0
57,57,FHSS,12,2,-95.219631472692,689249.6214583382,681470.055042096,0
58,58,FHSS,19,6,-101.21389308686554,704386.6265706747,684258.9613498327,0
59,59,FHSS,12,5,-108.28525050763378,655487.6807186083,678138.2342131389,0
