,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,118,48,-99.64897960053712,702295.2724011941,686423.82843141,0
1,1,1,CSS,127,66,-95.79765580421505,681378.0027335637,686665.778060524,0
2,2,1,CSS,113,71,-99.28572399744627,691618.5445718828,701901.7241954275,0
3,3,1,CSS,110,65,-98.45362050200931,680864.5967798815,697143.8568503396,0
4,4,1,CSS,147,91,-97.62064124828952,683891.4462279918,680512.2036994376,0
5,5,1,CSS,108,58,-97.05632037543809,688250.9070539887,699155.0603476581,0
6,6,1,CSS,122,61,-98.81528451800392,693960.6449976941,700531.9142830602,0
7,7,1,CSS,135,65,-99.86711489542348,677424.1961910566,695755.6654565524,0
8,8,1,CSS,114,62,-98.4266882899244,700165.0840067626,685365.4430528478,0
9,9,1,CSS,128,69,-97.84757396033457,679427.5959307636,685427.5583215185,0
10,10,1,CSS,124,67,-94.309640860899,691309.13797203,682514.8868038472,0
11,11,1,CSS,129,73,-96.0584496987116,684716.1036865347,696792.282609034,0
12,12,1,CSS,139,79,-97.36754259290859,684362.7680331772,680581.4123755338,0
13,13,1,CSS,116,61,-98.9768848528301,681119.0752332981,680405.9279514904,0
14,14,1,CSS,122,77,-99.64425989783226,681556.473213509,678778.781108112,0
15,15,1,CSS,104,60,-98.14842415159974,695066.9900487261,679828.0336027971,0
16,16,1,CSS,122,71,-96.26110110763983,682227.267187402,684065.4566498619,0
17,17,1,CSS,119,74,-97.73076951421916,691516.2353599253,679016.8577654517,0
18,18,1,CSS,112,69,-94.48277907400191,690255.2774178842,696658.5682772503,0
19,19,1,CSS,116,61,-94.8175305255231,689757.3947627725,681835.6406540899,0
20,20,1,CSS,123,63,-95.79939401750175,680948.3888950589,688719.3708112271,0
21,21,1,CSS,101,55,-98.39029396241244,700081.7203034665,693540.2722997437,0
22,22,1,CSS,120,53,-94.30912780093396,682317.6883352285,688495.4721844019,0
23,23,1,CSS,135,71,-98.02252110971433,698952.597610384,694818.7022941431,0
24,24,1,CSS,135,85,-98.09693842138739,692813.3182466888,678885.3914558751,0
25,25,1,CSS,131,70,-94.27925321667253,682677.2621984335,691747.5288906776,0
26,26,1,CSS,130,73,-94.78694537419433,686434.9429343038,696356.9038062871,0
27,27,1,CSS,148,91,-94.50827775694822,688312.6024425726,696646.1282123714,0
28,28,1,CSS,124,59,-95.56319713444078,696084.6746471399,684538.6305901462,0
29,29,1,CSS,128,72,-99.93856698323091,680721.8547041613,699969.8004019063,0
30,30,1,CSS,133,87,-99.31876985348153,699584.3938537133,681754.4728259352,0
31,31,1,CSS,116,52,-94.24140503698837,692221.9826382974,682894.8543218374,0
32,32,1,CSS,123,66,-94.83685972163018,685905.7099258718,696154.553466504,0
33,33,1,CSS,133,69,-96.42513174872282,690500.0297123666,698470.8658346267,0
34,34,1,CSS,119,71,-99.12434411257861,688184.5336556527,701801.2526392456,0
35,35,1,CSS,144,83,-98.25610432971139,688077.6748867562,678223.7660658427,0
36,36,1,CSS,129,68,-94.41940148443439,696650.0755078046,689156.9657327704,0
37,37,1,CSS,121,67,-95.59289099474103,697368.5130547305,691740.0205382493,0
38,38,1,CSS,139,76,-96.56659522400219,691574.0514468906,680391.8373202333,0
39,39,1,CSS,122,65,-94.80393288404298,696927.1335323376,688497.7492402534,0
40,40,1,CSS,141,81,-99.70905231776496,676909.5630523646,694002.1000352552,0
41,41,1,CSS,123,64,-95.86089619887724,691728.9245076458,681179.9866417205,0
42,42,1,CSS,105,55,-94.03970283861382,690451.1414087139,682555.7550464,0
43,43,1,CSS,121,67,-97.54855437815333,681788.2031061235,682358.2038197407,0
44,44,1,CSS,123,83,-98.17267181610664,680957.7872941396,696695.2248679417,0
45,45,1,CSS,141,80,-95.3596819364601,681347.9433296559,689037.8166065903,0
46,46,1,CSS,138,79,-98.78122400871558,677618.36029184,687366.5450280823,0
47,47,1,CSS,113,62,-97.8473116012371,699777.5525559068,686571.3216477315,0
48,48,1,CSS,125,68,-95.10238083160743,695644.6899015189,684662.8015293594,0
49,49,1,CSS,110,52,-97.20436876802401,680691.0528410726,684553.6143513286,0
50,50,2,CSS,866,340,-94.52576835754954,692994.0450063951,695808.7699437799,0
