,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,223,174,-95.05789034470045,681617.6923927213,689204.1148299671,0
1,1,1,CSS,243,201,-98.84961628867958,699828.3492748946,683328.3472873864,0
2,2,1,CSS,257,218,-95.7582564039285,681920.8624742404,693324.0940877338,0
3,3,1,CSS,240,200,-99.95463387593095,698850.4826747967,699339.6824343757,0
4,4,1,CSS,243,204,-95.68366491213169,694079.3532064426,696368.3594433457,0
5,5,1,CSS,236,186,-94.49208489976513,683269.4337553905,693365.1644561216,0
6,6,1,CSS,220,170,-94.5533657435845,696278.1106768752,686773.7226558088,0
7,7,1,CSS,239,206,-94.93648698946281,683721.1713206981,684241.00852175,0
8,8,1,CSS,229,190,-97.48319641992315,684111.0342387777,680570.8395013681,0
9,9,1,CSS,277,236,-95.62723797362816,681148.9278513176,690426.0681238589,0
10,10,1,CSS,260,222,-97.98968810405061,680879.5358372763,696236.9439283657,0
11,11,1,CSS,257,215,-95.55732965615749,681875.7475000077,686033.7669564447,0
12,12,1,CSS,288,241,-97.83250748346802,684955.5247301013,679649.6075423056,0
13,13,1,CSS,245,201,-94.07686643776454,688441.1323566191,696306.5637575925,0
14,14,1,CSS,284,244,-97.984164463172,685266.3631729569,679309.037871111,0
15,15,1,CSS,250,222,-99.75367505472391,685597.2028289353,702242.6345606629,0
16,16,1,CSS,240,218,-97.63698741856375,684971.3723927743,679905.3566941578,0
17,17,1,CSS,247,212,-99.74201778602836,681534.7060996956,678609.1696582746,0
18,18,1,CSS,261,224,-95.22458120837732,682434.1213114967,693216.2271115879,0
19,19,1,CSS,257,217,-97.50311248699305,681266.6845015478,695766.8248719436,0
20,20,1,CSS,255,210,-97.1412076998734,699250.2450324204,688235.2296178272,0
21,21,1,CSS,286,229,-96.08741237785732,695885.1665180171,695337.4321585824,0
22,22,1,CSS,278,240,-99.82463404834455,680169.9093540326,679574.839474905,0
23,23,1,CSS,216,180,-98.13554624940474,691545.161190043,678506.7714103676,0
24,24,1,CSS,266,228,-97.34569289646721,699546.2931890171,689861.5067323524,0
25,25,1,CSS,233,207,-99.03097818625757,677118.2547256179,688627.5202134942,0
