,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
77,77,77,2,FHSS,15,2,-109.01932716778038,717956.9047861161,662985.2429338198,0
78,78,78,2,FHSS,17,3,-113.99125594458133,758112.523476616,683546.2006003407,0
79,79,79,2,FHSS,17,3,-117.62238466960022,597443.7469480714,739529.1815273291,0
80,80,80,2,FHSS,13,2,-78.06917919896998,690497.3410070019,689222.0319225116,0
81,81,81,2,FHSS,15,3,-102.24541707177195,705912.6359150535,696174.9510449194,0
82,82,82,2,FHSS,10,1,-113.4690925751338,674147.7680795686,626302.0876901627,0
83,83,83,2,FHSS,20,3,-113.19035000894422,628796.1327129921,706128.163585401,0
84,84,84,2,FHSS,16,5,-105.36899166698804,667117.2515860756,701897.32841852,0
85,85,85,2,FHSS,16,3,-113.30014699905269,746539.2971769022,717539.4895323872,0
86,86,86,2,FHSS,13,1,-102.89639682304514,700477.751792832,673694.291873015,0
87,87,87,2,FHSS,10,1,-114.03012332329,743199.4199770262,645777.975591239,0
88,88,88,2,FHSS,13,2,-109.0710486992736,657553.6843717959,712136.0864477264,0
89,89,89,2,FHSS,12,1,-104.94539231823542,712866.6685697561,695897.4783061014,0
90,90,90,2,FHSS,18,2,-116.01935974968085,776224.9318811888,682532.787781533,0
91,91,91,2,FHSS,12,1,-115.69203761275116,759869.826695556,734896.5740400271,0
92,92,92,2,FHSS,13,1,-115.43578347607055,755665.1027501896,736747.890101303,0
93,93,93,2,FHSS,16,2,-93.0293336935428,685983.3820864564,684277.9004509007,0
94,94,94,2,FHSS,12,1,-102.28908441331728,706793.9477936557,693781.6122443292,0
95,95,95,2,FHSS,16,3,-116.12813830931546,712228.1328757441,774591.4146854575,0
96,96,96,2,FHSS,19,3,-115.07753744408365,615689.0363648523,663517.4778057489,0
97,97,97,2,FHSS,11,2,-100.04660471960662,693104.9489709503,702754.6973627178,0
98,98,98,2,FHSS,10,3,-113.72747647296794,691423.5752893407,622552.3775116932,0
99,99,99,2,FHSS,14,1,-85.75769381409052,687866.4267331706,687230.4461891723,0
100,100,100,2,FHSS,11,0,-116.72622035279817,612248.8866326858,634908.8774495067,0
101,101,101,2,FHSS,19,6,-117.4144026660995,638206.4808477727,600895.7712220625,0
102,102,102,2,FHSS,12,1,-115.6962526128946,704491.1563918584,771950.7000214428,0
103,103,103,2,FHSS,15,2,-100.9281964980764,674859.072026063,684606.2328595411,0
104,104,104,2,FHSS,18,4,-107.72215718746952,721745.1853556175,698184.505632826,0
105,105,105,2,FHSS,20,3,-113.36061860179124,699622.7875266845,626106.7444758203,0
106,106,106,2,FHSS,16,2,-80.17386413860079,688279.3946937488,690243.7476152903,0
107,107,107,2,FHSS,12,3,-109.52132933194108,655616.5890127184,713002.2489814828,0
108,108,108,2,FHSS,15,0,-105.91911517787322,714260.802325757,678294.3806438658,0
109,109,109,2,FHSS,21,3,-115.8056345841159,605621.3622706236,675301.5229963935,0
110,110,110,2,FHSS,8,2,-116.88812129888274,593350.8476621914,683419.7247020145,0
111,111,111,2,FHSS,14,1,-108.96256421954568,691567.591732081,650824.8690525893,0
112,112,112,2,FHSS,19,1,-115.63906197598344,767301.1308257503,659725.3383265621,0
113,113,113,2,FHSS,12,0,-99.78438683879304,679050.9153916184,680859.0269492612,0
114,114,114,2,FHSS,13,0,-108.41950190342968,702025.8115623571,723452.9205680243,0
115,115,115,2,FHSS,14,4,-116.53861146769584,781380.6653154208,679990.9173922671,0
116,116,116,2,FHSS,17,2,-104.65560527828778,685870.9312640186,712680.773192634,0
117,117,117,2,FHSS,13,2,-107.80144361539496,659025.591102371,704239.397616664,0
118,118,118,2,FHSS,14,2,-105.56924496463638,715294.4022103468,685698.8394538749,0
119,119,119,2,FHSS,13,2,-87.29300603901541,688223.7980356107,686451.4136686281,0
120,120,120,2,FHSS,14,5,-114.2446021116665,704528.3521532728,758774.9115005836,0
121,121,121,2,FHSS,18,2,-115.26455002602006,682773.1509097783,609849.7642948567,0
122,122,122,2,FHSS,9,0,-99.61470191230713,676788.9365968171,685637.9425864714,0
123,123,123,2,FHSS,16,2,-113.91365108188305,730958.4927288142,743668.720478417,0
124,124,124,2,FHSS,17,4,-117.81412611107928,712140.6966848349,794045.3020906788,0
125,125,125,2,FHSS,11,4,-113.12683426447327,736347.0650520448,648262.1199925753,0
126,126,126,2,FHSS,11,1,-113.37957720775388,627803.8966517431,707693.8498556259,0
127,127,127,2,FHSS,9,2,-103.37775991540452,709641.5373063846,691287.7974450035,0
128,128,128,2,FHSS,15,3,-110.54241217391647,732816.790434174,705682.6291203815,0
129,129,129,2,FHSS,12,3,-117.3973368427184,774785.500118684,633491.1185171803,0
130,130,130,2,FHSS,18,2,-114.14556584847188,661659.5626152128,624943.0582653934,0
