,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,856,319,-102.47980997091203,704831.7156516117,679516.8624459368,0
1,1,1,CSS,929,568,-104.73292359356411,681746.7121633431,711888.2034439952,0
2,2,1,CSS,904,555,-108.14000041926187,693325.2209956575,724346.8578126733,0
3,3,1,CSS,898,513,-104.07905563714499,703243.9826237386,672270.7693246765,0
4,4,1,CSS,926,390,-84.52738802312214,691287.5957627269,688048.1496083055,0
5,5,1,CSS,880,521,-111.06468565789777,713619.3767922657,646546.3656281196,0
6,6,1,CSS,886,487,-96.36261494449296,698025.5999359651,692215.5990192398,0
7,7,1,CSS,940,457,-90.92161583649614,689570.9640654234,694250.7616751676,0
8,8,1,CSS,851,403,-90.96687954560014,691522.4152697929,685025.0590871442,0
9,9,1,CSS,898,528,-100.86637291326511,684920.3343018052,703949.1874358089,0
10,10,1,CSS,858,428,-88.5670261986127,686655.9978133303,686952.2981118724,0
11,11,1,CSS,895,476,-96.16433654119086,693440.8301946259,681525.9143245999,0
12,12,1,CSS,980,592,-104.81653120852164,712550.2141880994,695696.3039176887,0
13,13,1,CSS,903,520,-102.88350232570441,672246.5472252356,698000.1828993905,0
14,14,1,CSS,864,345,-83.20509672667441,690090.7862705075,687538.845118201,0
15,15,1,CSS,895,487,-95.71123008815981,689531.9872195086,697815.2077800022,0
16,16,1,CSS,855,398,-87.6015443668825,692655.7996155383,688787.6469996452,0
17,17,1,CSS,926,413,-86.11083437364834,688047.746342936,686984.6978982652,0
18,18,1,CSS,904,529,-101.01426337080497,674045.2718738188,691265.5284670442,0
19,19,1,CSS,880,550,-110.4711657099852,729329.5432775221,666599.2862878361,0
20,20,1,CSS,916,377,-82.32238041028212,687801.2645741422,688607.153951708,0
21,21,1,CSS,924,375,-83.06423377633016,691344.4186536447,689091.0651108321,0
22,22,1,CSS,941,510,-96.80582379053695,680152.4493040225,691685.8303739103,0
23,23,1,CSS,896,533,-105.38972124448384,713886.2560404585,696961.1919130308,0
24,24,1,CSS,855,397,-90.66049515757939,689629.9119881799,684717.1064546909,0
25,25,1,CSS,900,505,-98.37466338159548,681117.6891327585,697263.759379479,0
26,26,1,CSS,874,557,-111.18559496099013,642651.3390929361,671936.0609049391,0
27,27,1,CSS,877,541,-108.93456517656983,684792.290711092,651166.915431741,0
28,28,1,CSS,899,385,-89.62801788624108,693562.6968023784,688996.327596522,0
29,29,1,CSS,935,519,-101.11642845507721,701523.6022254069,679484.686828516,0
30,30,1,CSS,917,483,-94.88046295569117,682990.7382630928,685272.6827970216,0
31,31,1,CSS,908,417,-89.75845042360369,686137.5897347197,692098.7666079478,0
32,32,1,CSS,898,485,-95.99888469469559,695545.1353547006,683258.3290129503,0
33,33,1,CSS,852,485,-99.86808903800275,686773.1176765567,702715.9270942294,0
34,34,1,CSS,856,499,-102.89366192563637,673756.5853677919,700555.2633890996,0
35,35,1,CSS,893,517,-99.7983021140603,676544.8033381258,693348.9874425742,0
36,36,1,CSS,855,489,-101.11152535870326,703894.4559373056,683478.0742867219,0
37,37,1,CSS,903,386,-82.24825965742497,690683.2521166011,688160.3972599561,0
38,38,1,CSS,875,394,-87.27108133062339,692528.36734417,688779.0068820888,0
39,39,1,CSS,857,397,-83.63445590873832,687923.8827647635,690883.3440097637,0
40,40,1,CSS,867,421,-89.06350679351993,689243.0040719134,693317.1987775514,0
41,41,1,CSS,832,457,-96.70567314953387,685584.8634097547,680797.9764187067,0
42,42,1,CSS,889,450,-97.1649951421395,698098.1246488397,684587.4795622841,0
43,43,1,CSS,913,556,-106.66582288333124,709381.3545012105,711349.7069366241,0
44,44,1,CSS,829,536,-107.7975625059873,721280.6954481155,678165.741955569,0
45,45,1,CSS,872,508,-109.55764058415572,666854.7030147895,654711.0824914883,0
46,46,1,CSS,859,513,-110.16120879395672,703454.1793150868,731494.7784946857,0
47,47,1,CSS,874,402,-89.50895702843005,692583.8542130573,686789.7852106928,0
48,48,1,CSS,895,492,-97.90759227629484,698316.6827737261,683260.1674594888,0
49,49,1,CSS,919,495,-99.47007982665069,701120.826766501,694956.1055207553,0
50,50,2,CSS,237,86,-90.16178730395495,689673.1440405962,684981.9532059206,0
