,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,1,CSS,870,372,-85.15716730493352,687217.4344944286,688224.9769431638,0
1,1,1,CSS,883,592,-110.2567538274759,682749.150949323,733769.2757349703,0
2,2,1,CSS,879,466,-87.29486246036815,686310.2537676315,690158.208221265,0
3,3,1,CSS,893,559,-105.55479039786191,664528.619540757,697305.676660801,0
4,4,1,CSS,909,614,-110.54806533569808,643339.1512321415,684024.6992773071,0
5,5,1,CSS,933,570,-104.8809283950421,711013.033834139,678600.4048449912,0
6,6,1,CSS,872,583,-106.84518290790781,713641.0537632401,671241.3621424942,0
7,7,1,CSS,879,516,-96.1472467430574,680628.1069663606,690394.3303960321,0
8,8,1,CSS,854,557,-110.48392687241693,685604.4715228303,643524.2354261357,0
9,9,1,CSS,918,516,-92.76936958906698,683626.237158879,687855.2869969761,0
10,10,1,CSS,916,489,-89.16855364393733,687557.4301493438,692907.4481796767,0
11,11,1,CSS,886,428,-83.8967333416826,691567.7917630355,689424.6720756202,0
12,12,1,CSS,918,523,-93.6434327856761,694049.2675985618,684681.2818922703,0
13,13,1,CSS,875,589,-110.43675968756801,684510.4172737808,643878.9431014077,0
14,14,1,CSS,858,550,-107.47006360324075,662929.7042661695,708329.6150974685,0
15,15,1,CSS,906,438,-85.7043325749886,690106.9467254953,686847.997518583,0
16,16,1,CSS,869,582,-111.48701980609727,681406.8245329425,638353.5487962081,0
17,17,1,CSS,880,499,-95.26288890094764,684400.1036465811,695624.4575784417,0
18,18,1,CSS,856,559,-107.04442978030013,720111.2321385874,685193.3909550824,0
19,19,1,CSS,928,538,-97.34024224060106,686275.343818957,699052.8714978958,0
20,20,1,CSS,837,443,-93.84447050851023,690088.914112029,696156.6171922089,0
21,21,1,CSS,892,525,-104.06947727726653,688488.3498347141,711393.2391548408,0
22,22,1,CSS,896,472,-85.70641643440248,687006.7268155025,690540.6810175693,0
23,23,1,CSS,867,436,-82.27913840241024,688349.4628121562,687969.3062340942,0
24,24,1,CSS,827,450,-96.79455176114797,697838.5047603599,684979.6158123495,0
25,25,1,CSS,904,502,-95.23343345072874,688156.4513542355,697266.6706222045,0
26,26,1,CSS,848,543,-106.80166053752798,715247.5318172448,704920.9592457836,0
27,27,1,CSS,923,610,-107.73365611632745,688732.0315519209,722951.854002799,0
28,28,1,CSS,900,471,-85.42112393840742,688560.328767453,686985.221213966,0
29,29,1,CSS,858,483,-98.64427834962757,681066.6967574446,681094.0139023983,0
30,30,1,CSS,890,491,-94.32599778089104,695602.3675148889,685802.7706707548,0
31,31,1,CSS,926,574,-105.28759565742783,680273.8369883302,665803.6128280809,0
32,32,1,CSS,886,591,-110.1029829546277,696956.5763521667,732828.8222958043,0
33,33,1,CSS,916,568,-104.77386351141988,665914.3692013633,693560.1969498486,0
34,34,1,CSS,880,479,-94.68767323879474,695666.0408812583,685326.0886691356,0
35,35,1,CSS,867,505,-101.30760536992406,688205.4173514537,705374.405973108,0
36,36,1,CSS,910,561,-103.54344353092489,674412.3940226794,703690.0515608621,0
37,37,1,CSS,891,550,-106.63758318355342,671837.8677671466,713193.400603994,0
38,38,1,CSS,935,494,-92.24803188209027,683786.5943740266,689847.7136502322,0
39,39,1,CSS,859,420,-86.73414964935928,691459.3154352796,691589.3447980735,0
40,40,1,CSS,906,539,-102.79477136710771,702870.085741981,676002.2255600394,0
41,41,1,CSS,933,476,-84.0105553084452,691521.7916558986,688845.2897043792,0
42,42,1,CSS,911,412,-84.38281530966705,691536.8650964174,688584.225011783,0
43,43,1,CSS,868,439,-83.72732000143056,691157.7014457543,688218.1048978277,0
44,44,1,CSS,879,468,-92.60474508133443,689031.4305992897,695276.5684602882,0
45,45,1,CSS,902,542,-104.14711667431915,669746.9209375946,679109.2663090933,0
46,46,1,CSS,886,407,-82.41728684657757,688446.2313296453,690953.129702218,0
47,47,1,CSS,876,587,-110.29918994370067,646344.5578515666,702717.9513762994,0
48,48,1,CSS,910,497,-91.83866825726733,685053.7563402293,686252.464040123,0
49,49,1,CSS,891,420,-82.77837594415787,687878.674632977,690528.0499671125,0
50,50,2,CSS,516,242,-89.38515032050341,690727.7885321305,693248.6818568372,0
51,51,2,CSS,506,239,-102.9301922621145,706203.8460874463,698917.5601284924,0
52,52,2,CSS,503,217,-95.33485457654838,681769.9207100968,686882.2329905806,0
53,53,2,CSS,493,231,-96.68061320566929,690515.3460139192,680078.6446139434,0
54,54,2,CSS,449,229,-106.42591007099857,694483.252787,661001.6170588041,0
55,55,2,CSS,530,285,-110.64683263035273,656697.8886898969,655781.0606827729,0
56,56,2,CSS,529,235,-83.36179828130619,691145.0167553542,688359.3288134803,0
57,57,2,CSS,506,223,-82.74080594988972,688052.3972029274,690722.1245129186,0
58,58,2,CSS,529,264,-109.4904651011282,652754.8016197031,707928.6554134729,0
59,59,2,CSS,471,220,-106.44996759511213,700473.4587209675,716151.7734495724,0
