,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
0,0,0,1,CSS,66,26,-97.3123225525856,679490.033725554,687483.9008348358,0
1,1,1,1,CSS,65,25,-86.6431736983775,691243.4558762494,691734.2615690166,0
2,2,2,1,CSS,73,40,-90.33963619149944,687836.5682767932,685164.9188231067,0
3,3,3,1,CSS,50,19,-85.70769096421785,687318.8233964181,687773.4478474795,0
4,4,4,1,CSS,57,32,-104.62697477786224,712464.8812582656,693757.5743452183,0
5,5,5,1,CSS,66,41,-106.961174836348,718992.7020023499,697595.2382337425,0
6,6,6,1,CSS,72,39,-99.86629596588064,698290.0713499289,699661.1539567005,0
7,7,7,1,CSS,56,35,-98.75241935545488,700356.837364993,684668.8640758565,0
8,8,8,1,CSS,71,50,-117.55109461374032,605276.5635775302,628479.864274288,0
9,9,9,1,CSS,58,25,-81.31733239854987,687835.6188797185,689705.5478292471,0
10,10,10,1,CSS,78,47,-109.02620645930112,716627.3191088096,661574.6908818554,0
11,11,11,1,CSS,59,48,-115.75925875652416,619615.6922293754,737073.4590243363,0
12,12,12,1,CSS,66,42,-111.4635520137619,739163.3616347829,675948.5043364319,0
13,13,13,1,CSS,63,38,-114.3137340642938,624484.6726483078,659322.3555384718,0
14,14,14,1,CSS,68,31,-78.78594238742853,690484.6079548872,689941.4569467595,0
15,15,15,1,CSS,64,30,-95.59514871185284,694683.8643201785,683009.5157802386,0
16,16,16,1,CSS,71,39,-92.38895920458172,689931.0471954888,683701.0221027631,0
17,17,17,1,CSS,68,45,-101.92683139221268,684414.8179136579,705860.8274928223,0
18,18,18,1,CSS,67,31,-92.5682247733201,683873.0426931203,691305.9108580233,0
19,19,19,1,CSS,65,29,-76.6299611852322,690203.2438684717,688915.7890099288,0
20,20,20,1,CSS,62,26,-86.54220027812332,686819.444860245,690766.7526138828,0
21,21,21,1,CSS,51,31,-87.34546269222473,688014.5129851983,686522.7495112511,0
22,22,22,1,CSS,71,39,-83.42656144394141,688074.3802373146,687865.6634168631,0
23,23,23,1,CSS,71,49,-112.92699890670671,750368.0891509611,691700.0788721187,0
24,24,24,1,CSS,43,21,-97.32878153454251,688027.1941300227,699441.5627118681,0
25,25,25,1,CSS,56,31,-105.4376366020956,666894.9309215418,676907.0669980957,0
26,26,26,1,CSS,65,28,-84.73078454973407,687131.0014611545,688748.8146369418,0
27,27,27,1,CSS,58,25,-87.57954633415083,692588.148335716,690287.2779960338,0
28,28,28,1,CSS,63,29,-86.5205895193623,691415.9690768837,691530.4012330931,0
29,29,29,1,CSS,66,39,-116.42326089259902,607146.5629783473,728853.2571943373,0
30,30,30,1,CSS,56,30,-96.04538653930388,686623.0164064511,681133.1562780517,0
31,31,31,1,CSS,52,22,-79.34846971470313,688690.3700667382,690465.9980286921,0
32,32,32,1,CSS,72,37,-117.74591098573222,790022.7678389949,655299.8041155743,0
33,33,33,1,CSS,61,39,-93.89850075241426,691825.6606672661,683030.7393743774,0
34,34,34,1,CSS,48,27,-109.9643730610658,686625.0459676587,646129.6217669542,0
35,35,35,1,CSS,68,39,-103.69352432930336,668495.9757680444,691958.5901433134,0
36,36,36,1,CSS,60,38,-109.12683830837273,702746.1252917966,726468.9384291394,0
37,37,37,1,CSS,64,21,-76.82530927058781,688767.2553039191,688704.8581712227,0
38,38,38,1,CSS,55,24,-86.57599271970656,690611.825754319,686731.6230737049,0
39,39,39,1,CSS,58,33,-109.44638126908768,725867.9058444517,707862.0465858382,0
40,40,40,1,CSS,72,24,-81.6337008660293,691018.1303595355,688986.9571462754,0
41,41,41,1,CSS,73,31,-80.5786950409379,689498.3687508208,687941.570615699,0
42,42,42,1,CSS,53,27,-92.15014702249889,684010.4221740405,690807.1193959741,0
43,43,43,1,CSS,56,34,-85.9141184183554,688877.0641453989,692078.8286705904,0
44,44,44,1,CSS,57,33,-103.9606600760568,709534.1845340009,697605.470890148,0
45,45,45,1,CSS,59,27,-79.0312823959647,690528.7057720051,689928.7782917755,0
46,46,46,1,CSS,57,39,-114.84673965013934,642732.6247404903,629323.2137853102,0
47,47,47,1,CSS,78,37,-103.8977839811196,687119.9863903323,710859.9527200239,0
48,48,48,1,CSS,64,36,-80.5224781529846,690418.1559570602,690471.4833619524,0
49,49,49,1,CSS,52,26,-82.9659510849365,691334.2356781749,689175.0016700376,0
50,50,50,2,FHSS,33,7,-82.25069495908917,690951.3574185052,690311.9532968948,0
